"Event.Number","Record","Event.Time..s.","Baseline..pA.","Peak..pA.","Amplitude..pA.","Rise.Time..ms.","Half.Width..ms.","Decay.Time..ms.","Decay.Fit.b0","Decay.Fit.b1","Decay.Fit.Tau..ms.","AUC..pA.ms.","rise_max_time","baseline_time","event_index","file_prefix","event_id","noise","event_entry_number"
1,0,0.0327,-80.1167156436955,-87.410535781954,-7.29382013825855,0.25,0.549999999999995,0,-71.9911715526355,-10.4005600325267,6.59902341175562,174.282471209052,0.03245,0.0321,654,"2026_04_28_0061","2026_04_28_0061_ev00001_rec0","no",421196
2,0,0.13185,-79.5990208181497,-95.6077987201769,-16.0087779020272,0.799999999999995,32.35,30,-46428.4531832273,46348.1524988987,312444.934862439,-126.964803589739,0.1285,0.1272,2637,"2026_04_28_0061","2026_04_28_0061_ev00002_rec0","no",421197
3,0,0.16145,-76.8885652103686,-95.7705719909608,-18.8820067805922,1.14999999999998,14.05,12.9,-12.9595889268111,-82.4362677017901,85.6054142378386,-234.536482317814,0.1587,0.15715,3229,"2026_04_28_0061","2026_04_28_0061_ev00003_rec0","no",421198
4,0,0.21255,-88.8446422422746,-135.023044995022,-46.1784027527476,3.75,5.05,4.8,-75.6499227744594,-68.3839521486791,5.86159759809454,-84.0679323114505,0.21205,0.20595,4251,"2026_04_28_0061","2026_04_28_0061_ev00004_rec0","no",421199
5,0,0.24255,-71.5546380406579,-104.64106341092,-33.0864253702616,0.899999999999956,8.99999999999998,12.3499999999999,-70.3235835978858,-30.0765101594868,15.3960336089792,-392.510615289342,0.24195,0.24095,4851,"2026_04_28_0061","2026_04_28_0061_ev00005_rec0","no",421200
6,0,0.28445,-74.357950279591,-263.660894952217,-189.302944672626,7.90000000000002,21,14,-79.9226184499625,-218.634439129127,11.4815792995505,-4343.11050105796,0.2804,0.272,5689,"2026_04_28_0061","2026_04_28_0061_ev00006_rec0","no",421201
7,0,0.32555,-114.887655932911,-158.911263380442,-44.0236074475313,4.05,4.34999999999997,3.95000000000001,-88.153326947857,-69.3292055040348,8.30107654657231,140.182615959538,0.3252,0.32055,6511,"2026_04_28_0061","2026_04_28_0061_ev00007_rec0","no",421202
8,0,0.35915,-98.745378960145,-112.434187968024,-13.6888090078787,0.300000000000022,0.850000000000017,0,85756.9980660993,-85858.4461364801,174459.244094339,131.086113693904,0.35855,0.35815,7183,"2026_04_28_0061","2026_04_28_0061_ev00008_rec0","no",421203
9,0,0.37655,-87.3109481244987,-122.883767129242,-35.5728190047428,0.799999999999967,3.45000000000001,2.40000000000001,-85.7504290520098,-35.0167590795185,2.74332700357445,-95.2757507169456,0.37535,0.37455,7531,"2026_04_28_0061","2026_04_28_0061_ev00009_rec0","no",421204
10,0,0.4045,-71.4539384969313,-109.087186807405,-37.6332483104734,2.59999999999999,11.55,11.05,-75.3909827256107,-46.1581604283557,7.2346189571002,-568.582251155854,0.40355,0.40095,8090,"2026_04_28_0061","2026_04_28_0061_ev00010_rec0","no",421205
11,0,0.47885,-74.3254525654932,-101.744562816247,-27.4191102507535,2.09999999999999,10.3999999999999,10.4,-65.0940214417016,-41.0134734865509,13.8692774580268,-353.792887187381,0.4772,0.46915,9577,"2026_04_28_0061","2026_04_28_0061_ev00011_rec0","no",421206
12,0,0.5168,-85.0886663001864,-92.5347943209618,-7.44612802077539,0.399999999999956,1.75000000000003,2.60000000000005,91670.6137169276,-91759.9453342396,160471.531091418,118.837757375073,0.51565,0.51445,10336,"2026_04_28_0061","2026_04_28_0061_ev00012_rec0","no",421207
13,0,0.5545,-73.5445149019814,-111.301280259863,-37.7567653578815,1.24999999999997,10.5000000000001,10.6499999999999,-72.1956267923512,-46.0627351278313,9.69512237046448,-501.361081756747,0.55165,0.55035,11090,"2026_04_28_0061","2026_04_28_0061_ev00013_rec0","no",421208
14,0,0.6633,-73.3754770962611,-101.367917805789,-27.992440709528,0.600000000000045,10.5500000000001,20.2,-83.5532592028391,-30.6258056036647,3.93216960553749,-497.111714260903,0.66145,0.6608,13266,"2026_04_28_0061","2026_04_28_0061_ev00014_rec0","no",421209
15,0,0.6866,-92.2784366742716,-103.749789208892,-11.4713525346201,0.950000000000006,0.300000000000078,0,-71.1974452134421,-21.8684353136944,7.95736340890587,460.391494127465,0.6866,0.685,13732,"2026_04_28_0061","2026_04_28_0061_ev00015_rec0","no",421210
16,0,0.7445,-85.9500562900822,-93.9408858708463,-7.99082958076417,4.40000000000007,34.5000000000001,28.3,-84796.3886804837,84718.9855582822,208249.834078313,79.2419581785327,0.74435,0.73645,14890,"2026_04_28_0061","2026_04_28_0061_ev00016_rec0","no",421211
17,0,0.76655,-72.8846490519607,-95.0517353835128,-22.1670863315521,1.19999999999998,12.45,30,-83.0106316516944,-20.849074793174,2.38329403181718,-464.372326602169,0.7627,0.76125,15331,"2026_04_28_0061","2026_04_28_0061_ev00017_rec0","no",421212
18,0,0.8212,-70.2610073267121,-93.7086671107262,-23.4476597840141,3.79999999999991,15.7,1.95000000000001,-108628.861165252,108550.577944071,324283.388127506,-483.573960541415,0.8206,0.81595,16424,"2026_04_28_0061","2026_04_28_0061_ev00018_rec0","no",421213
19,0,0.8603,-80.0788678820305,-100.779030494138,-20.7001626121073,1.09999999999999,8.14999999999999,2.90000000000001,-79.9062415446918,-18.8035830427265,3.32824244854058,-151.658031754944,0.8568,0.85365,17206,"2026_04_28_0061","2026_04_28_0061_ev00019_rec0","no",421214
