"Event.Number","Record","Event.Time..s.","Baseline..pA.","Peak..pA.","Amplitude..pA.","Rise.Time..ms.","Half.Width..ms.","Decay.Time..ms.","Decay.Fit.b0","Decay.Fit.b1","Decay.Fit.Tau..ms.","AUC..pA.ms.","rise_max_time","baseline_time","event_index","file_prefix","event_id","noise","event_entry_number"
1,0,0.1433,-99.7365331295254,-125.067484445355,-25.3309513158292,1.75,4.39999999999999,4.09999999999999,-101.42887848496,-23.2320955893538,3.72542114890778,-170.965041323831,0.14305,0.14115,2866,"2026_01_13_0027","2026_01_13_0027_ev00001_rec0","no",260276
2,0,0.17145,-104.739539845499,-110.563520270526,-5.82398042502643,0.0499999999999945,0.599999999999989,1.55,-97.7558446092835,-10.3362285293113,12.4698893497252,91.0533723007175,0.1713,0.17115,3429,"2026_01_13_0027","2026_01_13_0027_ev00002_rec0","no",260277
3,0,0.25785,-99.6921541698514,-119.777466457381,-20.0853122875296,3.79999999999997,7.99999999999995,5.90000000000002,-97.7013692354202,-21.7575151100447,7.0648263345848,-157.026506718473,0.25745,0.25355,5157,"2026_01_13_0027","2026_01_13_0027_ev00003_rec0","no",260278
4,0,0.3817,-99.704113879685,-103.497145062964,-3.79303118327866,0.0499999999999945,30.3,30,-2595.75271191803,2495.41455342609,312789.664098676,-24.1680731624933,0.38145,0.38135,7634,"2026_01_13_0027","2026_01_13_0027_ev00004_rec0","no",260279
5,0,0.40285,-100.99023611097,-107.35337471985,-6.36313860887948,0.0499999999999945,0.150000000000039,0.099999999999989,-99.4808702665209,-3.96329651957704,4.72455771515782,25.9437541946547,0.40285,0.40265,8057,"2026_01_13_0027","2026_01_13_0027_ev00005_rec0","no",260280
6,0,0.4994,-101.702525742052,-169.548640550709,-67.8461148086572,4.80000000000003,25.6499999999999,21.5,237307.723192015,-237466.174012311,161410.696972396,-1647.51278319471,0.4926,0.48705,9988,"2026_01_13_0027","2026_01_13_0027_ev00006_rec0","no",260281
7,0,0.54465,-106.62274615997,-123.872692658273,-17.2499464983025,0.700000000000034,29.2,17.35,-62835.8751925856,62726.6227192823,289608.19887441,-203.786974762724,0.5435,0.54275,10893,"2026_01_13_0027","2026_01_13_0027_ev00007_rec0","no",260282
8,0,0.5691,-106.466469927074,-129.150610194858,-22.6841402677836,1.34999999999996,7.60000000000005,7.80000000000003,-96.5234257983127,-30.5468815634256,15.2883022993945,-142.401740477921,0.56795,0.56635,11382,"2026_01_13_0027","2026_01_13_0027_ev00008_rec0","no",260283
9,0,0.6376,-109.647205034642,-114.016695889393,-4.36949085475149,0.800000000000023,1.24999999999997,1.39999999999996,-101.751140376601,-11.9916849866939,6.04259416217998,162.220927655551,0.63735,0.6358,12752,"2026_01_13_0027","2026_01_13_0027_ev00009_rec0","no",260284
10,0,0.6614,-103.384494312136,-108.675458089565,-5.2909637774289,0.300000000000078,0.400000000000067,0.749999999999917,-100.89457594012,-5.67718192357618,3.09321801732163,55.9990144627845,0.6614,0.6611,13228,"2026_01_13_0027","2026_01_13_0027_ev00010_rec0","no",260285
11,0,0.7667,-107.624787983633,-171.834345305977,-64.2095573223438,2.05,7.60000000000005,8.49999999999995,-126.475970914087,-56.6683268258575,3.47672270849429,-910.32005570591,0.76555,0.7632,15334,"2026_01_13_0027","2026_01_13_0027_ev00011_rec0","no",260286
12,0,0.79415,-111.64169134335,-163.129452848723,-51.4877615053733,1.95000000000001,7.84999999999991,7.1,-99.9952180070222,-67.4032704932324,9.01311917354478,-369.238857387436,0.79255,0.7905,15883,"2026_01_13_0027","2026_01_13_0027_ev00012_rec0","no",260287
13,0,0.8319,-104.325708894045,-122.867131850182,-18.5414229561375,1.90000000000001,6.49999999999995,7.1,-99.8541880386089,-21.0304721929038,11.4749509149936,-115.871891479949,0.83145,0.8293,16638,"2026_01_13_0027","2026_01_13_0027_ev00013_rec0","no",260288
14,0,0.9064,-103.697433277193,-108.830086950179,-5.13265367298574,0.149999999999983,0.199999999999978,0,5920.37361682559,-6021.93983621185,138414.298573991,82.9242834882763,0.9063,0.90615,18128,"2026_01_13_0027","2026_01_13_0027_ev00014_rec0","no",260289
15,0,1.021,-100.244757633884,-118.725078032408,-18.4803203985236,8.39999999999996,14.0499999999999,10.1500000000001,-101.478924159367,-18.1638704229672,8.62333451345072,-275.710303366106,1.02065,1.01215,20420,"2026_01_13_0027","2026_01_13_0027_ev00015_rec0","no",260290
16,0,1.14945,-101.06561352291,-118.100828013986,-17.0352144910759,0.750000000000028,8.1,7.75000000000015,-100.101249442803,-18.4653066212409,8.30812797498137,-165.240010200435,1.14735,1.1465,22989,"2026_01_13_0027","2026_01_13_0027_ev00016_rec0","no",260291
17,0,1.3441,-102.113835682068,-129.204437731268,-27.0906020491998,2.75000000000003,11.3000000000001,13.5000000000001,147571.489094837,-147691.80317665,243848.072642066,-351.422421927851,1.34225,1.33875,26882,"2026_01_13_0027","2026_01_13_0027_ev00017_rec0","no",260292
18,0,1.3968,-105.051168401071,-108.24680731089,-3.19563890981901,0.099999999999989,0.099999999999989,0,-94.7614854687755,-10.0154149324578,45.8667903367732,87.7736835220735,1.39675,1.39665,27936,"2026_01_13_0027","2026_01_13_0027_ev00018_rec0","no",260293
19,0,1.5089,-101.936234239328,-106.282331401091,-4.3460971617629,0.850000000000017,0.499999999999945,0.399999999999956,-99.7936240730901,-4.62907702944054,1.98491547828529,53.5019004310929,1.5089,1.50795,30178,"2026_01_13_0027","2026_01_13_0027_ev00019_rec0","no",260294
20,0,1.65115,-100.355086607327,-114.607363756166,-14.2522771488391,3.40000000000007,7.85000000000013,5.80000000000003,-99.6031008228081,-13.7742742086122,7.0230083975392,-114.673573642485,1.6501,1.6467,33023,"2026_01_13_0027","2026_01_13_0027_ev00020_rec0","no",260295
21,0,1.66815,-101.389689124935,-110.00953272977,-8.6198436048354,0.0499999999998835,0.099999999999989,0,-99.8579060915966,-3.67041663250034,3.72100071471034,31.9319732399767,1.66815,1.668,33363,"2026_01_13_0027","2026_01_13_0027_ev00021_rec0","no",260296
22,0,1.7118,-102.469572503381,-105.806576038353,-3.33700353497214,0.150000000000095,0.099999999999989,0.250000000000083,-99.3657456866462,-4.81059676002064,2.44595302883819,80.9720926219382,1.71175,1.71155,34236,"2026_01_13_0027","2026_01_13_0027_ev00022_rec0","no",260297
23,0,1.80025,-101.41217933268,-181.237368781231,-79.8251894485516,4.60000000000016,10.3500000000001,8.00000000000001,-100.063217583326,-85.4469003884559,7.86160374832165,-967.508665146906,1.7989,1.79375,36005,"2026_01_13_0027","2026_01_13_0027_ev00023_rec0","no",260298
24,0,1.8615,-100.677135385611,-112.557223172028,-11.8800877864167,0.600000000000156,6.19999999999998,9.44999999999996,-103.52857886945,-8.7404858338499,5.45064163485105,-137.937893995361,1.8615,1.86085,37230,"2026_01_13_0027","2026_01_13_0027_ev00024_rec0","no",260299
25,0,1.89605,-104.597211998423,-147.444484076326,-42.8472720779031,4.75000000000003,9.14999999999999,6.39999999999996,-101.642684445542,-45.9255236822145,7.17347327481075,-406.682235711558,1.89535,1.8905,37921,"2026_01_13_0027","2026_01_13_0027_ev00025_rec0","no",260300
26,0,1.9287,-102.072197415663,-105.017363772917,-2.94516635725381,0.299999999999967,1.44999999999995,1.84999999999991,-101.311015898426,-3.28222714240169,3.26088017331713,11.5886730688647,1.9286,1.9281,38574,"2026_01_13_0027","2026_01_13_0027_ev00026_rec0","no",260301
27,0,1.972,-96.6242318030698,-100.717024673653,-4.09279287058332,0.450000000000061,30.1,30,-99.6972125707169,-3.81484854036285,1.22214065732999,-103.041894045671,1.97145,1.971,39440,"2026_01_13_0027","2026_01_13_0027_ev00027_rec0","no",260302
28,0,2.0652,-115.327549132972,-147.506632909818,-32.1790837768467,5.59999999999983,4.75000000000003,3.40000000000007,-101.991683962356,-41.3483748080861,6.91262570094244,-6.36361356746343,2.06485,2.0565,41304,"2026_01_13_0027","2026_01_13_0027_ev00028_rec0","no",260303
29,0,2.1116,-106.953690474106,-109.360249072443,-2.40655859833642,0.150000000000095,0.399999999999956,0.599999999999934,-104.395877943841,-4.25550902003679,2.89962771708539,64.0853923996754,2.1116,2.11145,42232,"2026_01_13_0027","2026_01_13_0027_ev00029_rec0","no",260304
30,0,2.1307,-103.208454487622,-110.193317065326,-6.98486257770337,0.700000000000145,5.39999999999985,3.80000000000003,-99.8156378387318,-9.09503239612523,9.09646009928234,10.4049224556456,2.12925,2.1278,42614,"2026_01_13_0027","2026_01_13_0027_ev00030_rec0","no",260305
