"Event.Number","Record","Event.Time..s.","Baseline..pA.","Peak..pA.","Amplitude..pA.","Rise.Time..ms.","Half.Width..ms.","Decay.Time..ms.","Decay.Fit.b0","Decay.Fit.b1","Decay.Fit.Tau..ms.","AUC..pA.ms.","rise_max_time","baseline_time","event_index","file_prefix","event_id","noise","event_entry_number"
1,0,0.04925,-45.5621422683038,-85.7636249819563,-40.2014827136525,1.24999999999999,7.9,7.8,-41.1377424797694,-49.831955705806,8.24421812289887,-354.264454019386,0.0477,0.04625,985,"2026_06_04_0001","2026_06_04_0001_ev00001_rec0","no",426704
2,0,0.2121,-43.8111812115504,-47.1161851772118,-3.30500396566144,0.350000000000017,9.95000000000001,8.50000000000001,-41.7221339108833,-14.7227179834,5.70210056991564,-35.4398165804765,0.21105,0.2092,4242,"2026_06_04_0001","2026_06_04_0001_ev00002_rec0","no",426705
3,0,0.2634,-47.0277475601055,-58.1528790224536,-11.1251314623482,1.75000000000003,4.09999999999999,4.40000000000001,-41.7842780898255,-17.5503616167068,6.98096205000523,15.1379216627683,0.26325,0.2612,5268,"2026_06_04_0001","2026_06_04_0001_ev00003_rec0","no",426706
4,0,0.501,-47.5563004843137,-52.2597610892491,-4.70346060493542,0.150000000000095,0.199999999999978,0.599999999999934,-41.5174112327305,-8.57495151859644,6.07169927514206,128.940066859232,0.501,0.50085,10020,"2026_06_04_0001","2026_06_04_0001_ev00004_rec0","no",426707
5,0,0.66235,-43.6366580745529,-50.5800469215848,-6.94338884703193,0.099999999999989,5.40000000000007,5.34999999999997,-42.0948599015112,-11.0105031089675,5.41827239019336,-21.9577894434501,0.66115,0.66105,13247,"2026_06_04_0001","2026_06_04_0001_ev00005_rec0","no",426708
6,0,0.69905,-41.5996587487938,-52.6505387375449,-11.0508799887511,1.55000000000005,10.6499999999999,12.35,-44.3251746074195,-12.8820797692152,5.50332171547615,-186.044728426536,0.69765,0.69555,13981,"2026_06_04_0001","2026_06_04_0001_ev00006_rec0","no",426709
7,0,0.7909,-46.3595543049713,-115.158619889011,-68.7990655840394,1.65000000000004,7.54999999999995,7.65000000000005,-38.9004970560095,-81.1750569584513,8.46017959429627,-584.585949155468,0.78965,0.7878,15818,"2026_06_04_0001","2026_06_04_0001_ev00007_rec0","no",426710
8,0,0.9264,-48.7484813463023,-63.8270243302157,-15.0785429839134,1.44999999999995,7.54999999999995,7.1,-43.8444069767019,-19.2528393760359,11.7186016131343,-101.95622176923,0.9245,0.92295,18528,"2026_06_04_0001","2026_06_04_0001_ev00008_rec0","no",426711
9,0,1.2248,-41.0429951033467,-78.4558654649728,-37.4128703616261,1.89999999999979,5.65000000000015,6.95000000000001,-39.3571254440613,-31.9161017246817,9.67988665582947,-284.022002306548,1.22465,1.2224,24496,"2026_06_04_0001","2026_06_04_0001_ev00009_rec0","no",426712
10,0,1.4144,-46.7439265327053,-64.4515442181993,-17.707617685494,1.70000000000003,12.2,15.7499999999999,-51.4279446153963,-19.0622118950041,6.77146992230705,-312.511432117281,1.4141,1.4122,28288,"2026_06_04_0001","2026_06_04_0001_ev00010_rec0","no",426713
11,0,1.43905,-46.7927639834524,-50.7959090473144,-4.00314506386197,0.350000000000072,7.34999999999997,7.70000000000004,-42.5520632789637,-15.2871530530525,7.83145641070455,-4.26775576253854,1.43745,1.4366,28781,"2026_06_04_0001","2026_06_04_0001_ev00011_rec0","no",426714
12,0,1.5538,-45.1582136407227,-68.9526663861677,-23.7944527454449,0.700000000000145,4.05000000000011,4.85000000000002,-38.8737078493959,-25.4143708626032,9.28741768461375,-60.4834251618104,1.5528,1.5521,31076,"2026_06_04_0001","2026_06_04_0001_ev00012_rec0","no",426715
