corrected_baseline_pA,event_id,Record,Peak..pA.,corrected_amplitude_pA,Decay.Fit.b0,rise_max_time,event_entry_number,Event.Time..s.,file_prefix,Event.Number,corrected_baseline_index,corrected_baseline_time,Decay.Fit.Tau..ms.,event_index,baseline_time,Rise.Time..ms.,noise,Amplitude..pA.,Half.Width..ms.,Decay.Fit.b1,AUC..pA.ms.,Decay.Time..ms.,Baseline..pA.
,2026_04_28_0065_ev00001_rec0,0,425.657308297881,,406.872674617417,0.13375,425092,0.134,2026_04_28_0065,1,,,23.0075124444626,2680,0.1337,0.0499999999999945,no,3.77689302327155,2.25,18.374227491844,-141.42198074775,2.60000000000002,421.880415274609
,2026_04_28_0065_ev00002_rec0,0,417.981418773517,,409.737997888017,0.2467,425093,0.2467,2026_04_28_0065,2,,,4.21171421272388,4934,0.24655,0.0499999999999945,no,3.16944290996696,0.400000000000011,7.26041093821683,-121.413741173017,0.649999999999984,414.81197586355
,2026_04_28_0065_ev00003_rec0,0,412.626005391799,,175526.265767996,0.352,425094,0.352,2026_04_28_0065,3,,,432637.346578664,7040,0.35145,0.099999999999989,no,5.68902395369093,27.8,-175127.523690498,-63.0164512498833,25.45,406.936981438108
,2026_04_28_0065_ev00004_rec0,0,415.88160008398,,409.39560780895,0.3882,425095,0.3885,2026_04_28_0065,4,,,8.98330616309311,7770,0.3752,11.35,no,12.547018051562,42.1,8.38147073800265,430.960497900538,30,403.334582032418
,2026_04_28_0065_ev00005_rec0,0,428.837260806697,,-22945.5334147074,0.7604,425096,0.76125,2026_04_28_0065,5,,,42342.0180335114,15225,0.75515,4.85000000000002,no,13.6132589230323,13.15,23371.9271987434,126.867386320581,11.1,415.224001883665
,2026_04_28_0065_ev00006_rec0,0,428.459688291106,,418.515762019359,0.8674,425097,0.86755,2026_04_28_0065,6,,,6.67237513219439,17351,0.86235,4.05,no,5.90479692564531,6.35000000000008,8.92940375329388,-44.6744435147267,2.39999999999996,422.554891365461
,2026_04_28_0065_ev00007_rec0,0,399.332062256998,,399.612386565082,1.15075,425098,1.1515,2026_04_28_0065,7,,,4.53527715923517,23030,1.15055,0.199999999999978,no,5.67872895974529,30.3,5.13150566089921,209.710013857766,30,393.653333297252
,2026_04_28_0065_ev00008_rec0,0,422.071016517411,,394.50711869529,1.18675,425099,1.18675,2026_04_28_0065,8,,,19.9623410075181,23735,1.18635,0.0500000000001055,no,16.4770983438123,0.250000000000083,16.3645937958356,-76.7668977722307,0,405.593918173599
,2026_04_28_0065_ev00009_rec0,0,468.327025836665,,393.482977663524,1.2428,425100,1.2448,2026_04_28_0065,9,,,31.0663743134967,24896,1.23785,3.84999999999991,no,62.9918546637057,21.8499999999999,76.9508610132268,1376.08348384923,24.3499999999999,405.335171172959
,2026_04_28_0065_ev00010_rec0,0,420.902527423895,,405.901574719162,1.3597,425101,1.3597,2026_04_28_0065,10,,,11.9360933119273,27194,1.35915,0.150000000000095,no,6.55032737683513,0.199999999999978,11.496437235912,-125.966360459635,0.650000000000039,414.352200047059
,2026_04_28_0065_ev00011_rec0,0,423.328135188741,,412.660621850812,1.5081,425102,1.5132,2026_04_28_0065,11,,,8.02403050528775,30264,1.49705,4.64999999999982,no,21.7608518924752,38.6,7.57039846195553,591.773091152629,30,401.567283296266
,2026_04_28_0065_ev00012_rec0,0,409.25644511684,,404.368243827709,1.5533,425103,1.5534,2026_04_28_0065,12,,,6.78043677295274,31068,1.55015,3.14999999999999,no,9.4380111687945,30.4,9.62786839585429,242.744747304477,30,399.818433948045
