corrected_baseline_pA,event_id,Record,Peak..pA.,corrected_amplitude_pA,Decay.Fit.b0,rise_max_time,event_entry_number,Event.Time..s.,file_prefix,Event.Number,corrected_baseline_index,corrected_baseline_time,Decay.Fit.Tau..ms.,event_index,baseline_time,Rise.Time..ms.,noise,Amplitude..pA.,Half.Width..ms.,Decay.Fit.b1,AUC..pA.ms.,Decay.Time..ms.,Baseline..pA.
,2024_06_25_0006_ev00001_rec0,0,-151.676440232825,,-131.798133549513,0.03675,180800,0.0372,2024_06_25_0006,1,,,4.85420549788589,744,0.0296,7,no,-21.3010971779849,9.74999999999999,-19.911602885144,-230.827831824561,5.44999999999998,-130.37534305484
,2024_06_25_0006_ev00002_rec0,0,-139.12787507686,,-134.009626013193,0.08375,180801,0.08385,2024_06_25_0006,2,,,5.05032141234302,1677,0.08275,1,no,-6.51790259750115,2.65000000000001,-2.79819315775376,-61.1217753828995,5.14999999999999,-132.609972479359
,2024_06_25_0006_ev00003_rec0,0,-141.24836023509,,-21970.4377879459,0.1148,180802,0.11565,2024_06_25_0006,3,,,266932.555876379,2313,0.1111,2.44999999999998,no,-7.25444532313472,30.75,21839.3188605234,36.5914478782371,30,-133.993914911955
,2024_06_25_0006_ev00004_rec0,0,-152.185992877566,,-480469.225374742,0.16955,180803,0.16975,2024_06_25_0006,4,,,503021.384510125,3395,0.16245,7.05,no,-10.8410228105492,18.6,480335.253748987,-245.774657918178,11.9,-141.344970067017
,2024_06_25_0006_ev00005_rec0,0,-188.347239781867,,-146.766838899755,0.1968,180804,0.19795,2024_06_25_0006,5,,,4.78877459779192,3959,0.1936,2.64999999999999,no,-47.6587542069727,7.3,-47.0998588325555,-539.031241008411,6.75000000000001,-140.688485574894
,2024_06_25_0006_ev00006_rec0,0,-162.501701228787,,-146.174470492705,0.22355,180805,0.2251,2024_06_25_0006,6,,,3.82452395727119,4502,0.2226,0.84999999999999,no,-24.4767440444201,1.99999999999997,-3.57461839644601,-309.711649704812,5.25,-138.024957184367
,2024_06_25_0006_ev00007_rec0,0,-160.425302755067,,-137.294508884116,0.2491,180806,0.2494,2024_06_25_0006,7,,,13.0356545458347,4988,0.2438,5.10000000000005,no,-23.086555394777,10.75,-19.0174312635088,-277.435252769273,10.35,-137.33874736029
,2024_06_25_0006_ev00008_rec0,0,-143.903424533411,,-71246.0590388639,0.2827,180807,0.28285,2024_06_25_0006,8,,,278516.135095546,5657,0.282,0.249999999999972,no,-3.26402591320732,24.7,71109.9078552903,17.9496971217924,22.3,-140.639398620204
,2024_06_25_0006_ev00009_rec0,0,-149.40106521101,,-164657.091608619,0.30335,180808,0.3034,2024_06_25_0006,9,,,382647.955048745,6068,0.30225,1.05,no,-12.0454068887754,5.89999999999996,164516.098907079,-308.993953925692,1.90000000000001,-137.355658322235
,2024_06_25_0006_ev00010_rec0,0,-157.570696162017,,-134.471319702135,0.32445,180809,0.3249,2024_06_25_0006,10,,,26.9828154085074,6498,0.32165,2.69999999999998,no,-16.2476263736394,13.7,-22.605909485232,-244.710133921637,15.2,-141.323069788377
,2024_06_25_0006_ev00011_rec0,0,-182.085062882144,,-157.379713215127,0.37965,180810,0.37975,2024_06_25_0006,11,,,2.9199738778884,7595,0.363,16.1,no,-37.2516256711887,13.85,-26.3861288098365,-794.554944033918,8.95000000000001,-144.833437210956
