"Event.Number","Record","Event.Time..s.","Baseline..pA.","Peak..pA.","Amplitude..pA.","Rise.Time..ms.","Half.Width..ms.","Decay.Time..ms.","Decay.Fit.b0","Decay.Fit.b1","Decay.Fit.Tau..ms.","AUC..pA.ms.","rise_max_time","baseline_time","event_index","file_prefix","event_id","noise","event_entry_number"
1,0,0.0582,-52.8452213678433,-58.463890043042,-5.6186686751988,0.149999999999997,0.100000000000003,0.5,-52.3776650808706,-2.77928162574435,5.43702869270029,-1.39161172934317,0.0582,0.05805,1164,"2026_04_16_0021","2026_04_16_0021_ev00001_rec0","no",370366
2,0,0.15065,-54.3227178957639,-108.124201056127,-53.8014831603636,2.10000000000002,8.35,8.20000000000001,-50.9496045604455,-62.7203343733951,8.25473073071768,-522.943631791467,0.1497,0.1474,3013,"2026_04_16_0021","2026_04_16_0021_ev00002_rec0","no",370367
3,0,0.1787,-55.4746924514073,-60.6430552681086,-5.16836281670136,1.14999999999998,1.45000000000001,0,-52.9608023489579,-3.33038426491533,4.2910628399123,63.3766889343424,0.1786,0.17655,3574,"2026_04_16_0021","2026_04_16_0021_ev00003_rec0","no",370368
4,0,0.37255,-54.7461001559027,-61.9602602682861,-7.21416011238339,0.900000000000012,0.899999999999956,2.09999999999999,-52.9611590450477,-5.66061429386293,8.84281902735405,2.43940990944342,0.37235,0.3711,7451,"2026_04_16_0021","2026_04_16_0021_ev00004_rec0","no",370369
5,0,0.39965,-53.9292230808087,-57.7062024066679,-3.77697932585912,0.300000000000022,30.35,30,-30872.3698021881,30819.8546760132,698542.736417445,21.4450595195428,0.39935,0.399,7993,"2026_04_16_0021","2026_04_16_0021_ev00005_rec0","no",370370
6,0,0.429,-53.2508543137205,-61.4163118496461,-8.16545753592556,0.799999999999967,4.20000000000004,5.70000000000004,-51.3279199794469,-8.38293217236905,10.7971805967928,-32.3394213665307,0.42885,0.42805,8580,"2026_04_16_0021","2026_04_16_0021_ev00006_rec0","no",370371
7,0,1.0036,-54.8553449051518,-62.7730784257384,-7.91773352058659,3.25000000000009,6.60000000000016,4.95000000000001,-53.289912958036,-8.21108541407187,8.21966053826121,-43.9766250743282,1.0022,0.9987,20072,"2026_04_16_0021","2026_04_16_0021_ev00007_rec0","no",370372
8,0,1.10285,-55.1324061314861,-80.6430957817842,-25.5106896502981,3.40000000000007,9.74999999999992,9.54999999999995,-51.4067463737649,-29.7885370014498,11.6922379785732,-283.09383749365,1.10175,1.0983,22057,"2026_04_16_0021","2026_04_16_0021_ev00008_rec0","no",370373
9,0,1.21235,-52.1396886117167,-54.6434137068152,-2.50372509509846,0.099999999999989,9.54999999999995,30,-53.2161673335654,-3.42167135536903,3.15045630530548,-44.4706077177001,1.21215,1.21205,24247,"2026_04_16_0021","2026_04_16_0021_ev00009_rec0","no",370374
10,0,1.5643,-51.4417705810223,-61.4836542281594,-10.0418836471371,0.800000000000134,13.7499999999999,17.7,-52.1773908391127,-8.4702483656534,16.951458413553,-173.288441546341,1.5612,1.5596,31286,"2026_04_16_0021","2026_04_16_0021_ev00010_rec0","no",370375
11,0,1.7192,-55.4194807844717,-81.3036972367833,-25.8842164523116,2.69999999999992,14.2500000000001,15.55,-33.9378454202269,-42.209715989352,50.6734164163685,-402.576759117739,1.71705,1.71425,34384,"2026_04_16_0021","2026_04_16_0021_ev00011_rec0","no",370376
12,0,1.869,-53.5473321098824,-55.8853684855241,-2.3380363756417,0.599999999999934,1.24999999999997,1.00000000000011,-51.4245264284058,-5.10806646296732,1.88807049956071,52.7615657617194,1.869,1.8684,37380,"2026_04_16_0021","2026_04_16_0021_ev00012_rec0","no",370377
13,0,1.99245,-54.0707249695729,-63.7147203867744,-9.6439954172015,0.55000000000005,6.29999999999997,8.75000000000004,-48.1661869164492,-13.9911506061603,22.4440883862206,-71.5287327477989,1.99045,1.9897,39849,"2026_04_16_0021","2026_04_16_0021_ev00013_rec0","no",370378
14,0,2.23345,-59.1766155352126,-74.467695254957,-15.2910797197444,3.60000000000005,9.19999999999988,5.44999999999973,-54.7672128455823,-17.9598369054678,9.40618903156964,-82.2571158416503,2.23145,2.22765,44669,"2026_04_16_0021","2026_04_16_0021_ev00014_rec0","no",370379
15,0,2.3157,-54.6135594692446,-66.2704124360409,-11.6568529667963,2.80000000000014,4.55000000000005,4.59999999999994,-49.8682211614938,-13.4830634330062,11.5489174230616,-21.9276516130615,2.31555,2.31265,46314,"2026_04_16_0021","2026_04_16_0021_ev00015_rec0","no",370380
16,0,2.3929,-56.7268353177771,-62.1727482671254,-5.44591294934831,0.900000000000123,5.64999999999971,5.35000000000041,-12.4063203716197,-48.0002109426721,151.998414876916,17.86772559437,2.3911,2.39015,47858,"2026_04_16_0021","2026_04_16_0021_ev00016_rec0","no",370381
17,0,2.61075,-50.983583023391,-59.1567434447823,-8.17316042139136,1.39999999999985,31.6999999999998,29.9999999999998,-57.1330582382349,-4.12574263130799,8.50241518186085,-258.050981719679,2.60725,2.60475,52215,"2026_04_16_0021","2026_04_16_0021_ev00017_rec0","no",370382
18,0,2.7918,-50.6876304152287,-57.0875616171652,-6.39993120193655,1.9499999999999,15.4999999999998,8.19999999999999,-44058.3922145052,44006.5222825678,304570.953282356,-115.751493200955,2.79115,2.7875,55836,"2026_04_16_0021","2026_04_16_0021_ev00018_rec0","no",370383
19,0,2.8144,-52.8892771444756,-56.856991892108,-3.96771474763236,0.0999999999997669,10.85,12.2,-49.1787426269362,-8.12911118918911,27.0131312999818,-50.1341792803627,2.81155,2.81145,56288,"2026_04_16_0021","2026_04_16_0021_ev00019_rec0","no",370384
20,0,2.9144,-49.3020944676913,-56.5061065510854,-7.20401208339412,1.39999999999985,4.74999999999959,6.29999999999997,-48.879349314479,-6.94732312794707,7.78961717781085,-53.7243175688931,2.9136,2.9118,58288,"2026_04_16_0021","2026_04_16_0021_ev00020_rec0","no",370385
21,0,2.93535,-50.1887832417148,-54.2887264640881,-4.09994322237332,0.0499999999998835,30.1,30.0000000000002,-22141.8493030533,22093.6543312516,231506.384668388,16.7452123788332,2.93535,2.9352,58707,"2026_04_16_0021","2026_04_16_0021_ev00021_rec0","no",370386
22,0,2.97205,-51.494492825812,-55.0683764744876,-3.57388364867558,0.199999999999978,0.199999999999978,0.199999999999978,-49.5005735902056,-3.58715223388901,2.37912894909378,50.7851304711112,2.972,2.9718,59441,"2026_04_16_0021","2026_04_16_0021_ev00022_rec0","no",370387
23,0,3.00755,-48.3080715440821,-57.8116957786613,-9.50362423457927,0.699999999999701,36.2999999999998,29.9499999999999,-54.5023217306229,-1.92020638321,0.926472658690464,-252.913182825156,3.00075,3,60151,"2026_04_16_0021","2026_04_16_0021_ev00023_rec0","no",370388
24,0,3.02095,-49.3593128137724,-65.3014622687962,-15.9421494550238,2.19999999999976,7.80000000000003,3.70000000000026,-184925.408688006,184872.431169847,299874.271280093,-411.005991967111,3.02055,3.01815,60419,"2026_04_16_0021","2026_04_16_0021_ev00024_rec0","no",370389
25,0,3.0441,-50.5383644677969,-78.2019413701838,-27.663576902387,5.30000000000008,11.1000000000003,8.19999999999999,-47.5408377776741,-30.5005902889674,9.82087216405999,-338.890350679029,3.04275,3.03715,60882,"2026_04_16_0021","2026_04_16_0021_ev00025_rec0","no",370390
26,0,3.33465,-50.1445698346263,-52.7632566426813,-2.61868680805506,0.199999999999978,30.1999999999998,29.9999999999998,-50.0405036789525,0.32985820296094,54.752092318362,9.85313050157114,3.33465,3.33435,66693,"2026_04_16_0021","2026_04_16_0021_ev00026_rec0","no",370391
27,0,3.51695,-51.4384612334535,-59.4437084755421,-8.00524724208862,1.1000000000001,2.80000000000014,2.69999999999992,-49.6611350568491,-7.81323177037173,5.3748553699115,5.97900569219016,3.5169,3.5157,70339,"2026_04_16_0021","2026_04_16_0021_ev00027_rec0","no",370392
28,0,3.5851,-52.5026748716751,-54.5758086383808,-2.07313376670566,0.350000000000072,1.70000000000003,1.99999999999978,-51.3094825853158,-3.23769434011836,3.98326624676021,21.9509688649097,3.5851,3.5847,71702,"2026_04_16_0021","2026_04_16_0021_ev00028_rec0","no",370393
29,0,3.64015,-47.7325608563723,-62.0357940509795,-14.3032331946072,2.54999999999983,16.0999999999998,29.9999999999998,-53.0271550020157,-9.63062445255053,8.0310463995338,-280.981262115771,3.63925,3.6365,72803,"2026_04_16_0021","2026_04_16_0021_ev00029_rec0","no",370394
