"Event.Number","Record","Event.Time..s.","Baseline..pA.","Peak..pA.","Amplitude..pA.","Rise.Time..ms.","Half.Width..ms.","Decay.Time..ms.","Decay.Fit.b0","Decay.Fit.b1","Decay.Fit.Tau..ms.","AUC..pA.ms.","rise_max_time","baseline_time","event_index","file_prefix","event_id","noise","event_entry_number"
1,0,0.1008,108.153273289851,112.684031745607,4.53075845575616,0.099999999999989,0.750000000000001,0.349999999999989,107.031911470199,9.47315804994474,0.269169659450977,-28.4774546068027,0.1008,0.1003,2016,"2024_08_27_0026","2024_08_27_0026_ev00001_rec0","no",210129
2,0,0.1343,102.536241244907,106.634724234807,4.09848298990006,0.299999999999995,5,5.10000000000002,96.4467368716553,15.2332906915809,7.31499372110681,-67.1954062740652,0.13385,0.13355,2686,"2024_08_27_0026","2024_08_27_0026_ev00002_rec0","no",210130
4,0,0.4682,98.7547536709671,105.085178053088,6.33042438212122,0.100000000000044,1.40000000000001,1.30000000000002,94.4415188958944,11.9146600034125,2.25437376059669,-98.8130426209792,0.4679,0.4678,9364,"2024_08_27_0026","2024_08_27_0026_ev00004_rec0","no",210132
5,0,0.5657,102.210268809204,109.479578211525,7.26930940232093,0.200000000000089,4.14999999999999,6.05,82.5952981424596,25.1215234031313,50.7536822417942,-17.0696787168919,0.5656,0.5654,11314,"2024_08_27_0026","2024_08_27_0026_ev00005_rec0","no",210133
6,0,0.6353,104.767815133586,110.941336947327,6.17352181374116,0.55000000000005,3.65000000000004,5.05,96.2635551281064,13.1331983676214,25.5607603202139,-20.3549388551239,0.6353,0.63475,12706,"2024_08_27_0026","2024_08_27_0026_ev00006_rec0","no",210134
7,0,0.72455,105.086859158577,111.021252469262,5.93439331068494,0.099999999999989,30.25,30,28181.6707183373,-28080.7359302045,317245.432225221,-83.640179407919,0.72445,0.72415,14491,"2024_08_27_0026","2024_08_27_0026_ev00007_rec0","no",210135
8,0,0.7755,105.204800901469,112.214000207194,7.00919930572552,0.0500000000001055,30.0999999999999,29.9999999999999,8905.37261366236,-8802.64459730187,194506.326677038,-52.7584174378093,0.77535,0.7753,15510,"2024_08_27_0026","2024_08_27_0026_ev00008_rec0","no",210136
10,0,1.0427,105.508356388517,112.381679208372,6.87332281985483,0.450000000000061,0.850000000000017,1.29999999999986,100.327244907925,9.34046915039455,6.78316967982813,-90.2976236382415,1.0427,1.0422,20854,"2024_08_27_0026","2024_08_27_0026_ev00010_rec0","no",210138
11,0,1.1975,106.764008389537,119.928108006786,13.1640996172489,0.299999999999967,0.099999999999989,0,-103292.22848824,103401.583393024,240754.609149473,-114.246457965101,1.1975,1.1972,23950,"2024_08_27_0026","2024_08_27_0026_ev00011_rec0","no",210139
12,0,1.21645,103.475424738731,115.086364480164,11.610939741433,0.150000000000095,0.450000000000061,0.600000000000156,95.5331846355891,14.8656535613936,2.96569590001923,-192.258003128015,1.2163,1.21615,24329,"2024_08_27_0026","2024_08_27_0026_ev00012_rec0","no",210140
13,0,1.2873,101.710205930094,111.420302169269,9.71009623917422,0.250000000000083,1.34999999999996,1.84999999999991,100.081903967857,8.55338625461636,3.71330641908174,-14.1402645842438,1.2872,1.28695,25746,"2024_08_27_0026","2024_08_27_0026_ev00013_rec0","no",210141
14,0,1.36735,102.840462602235,113.877088914405,11.0366263121702,0.299999999999967,0.249999999999861,0.399999999999956,99.458876322433,9.50479397109173,1.58518925031348,-84.587884856782,1.36735,1.36705,27347,"2024_08_27_0026","2024_08_27_0026_ev00014_rec0","no",210142
15,0,1.6663,103.178916109218,107.022503018737,3.84358690951876,0.450000000000061,1.64999999999993,3.14999999999999,93.8147485001017,11.6505434389823,41.1327401422843,-30.0895229961576,1.6663,1.66585,33326,"2024_08_27_0026","2024_08_27_0026_ev00015_rec0","no",210143
16,0,1.8217,103.560461600478,111.475284686197,7.91482308571942,0.199999999999978,0.0500000000001055,0.099999999999989,99.0796740652878,7.48589981322971,8.08637825922613,-74.2390654949063,1.8217,1.8215,36434,"2024_08_27_0026","2024_08_27_0026_ev00016_rec0","no",210144
17,0,2.23855,109.038078823346,114.067523393569,5.02944457022319,0.499999999999723,0.599999999999934,1.15000000000043,101.907849280799,9.88614062648696,12.0749524311331,-101.177412550588,2.23855,2.23805,44771,"2024_08_27_0026","2024_08_27_0026_ev00017_rec0","no",210145
18,0,2.34535,105.265518000964,111.714651197366,6.44913319640216,0.14999999999965,0.100000000000211,0,90.9226310669521,16.3092885824238,28.0731594727312,-127.672632796197,2.34505,2.34485,46907,"2024_08_27_0026","2024_08_27_0026_ev00018_rec0","no",210146
