"Event.Number","Record","Event.Time..s.","Baseline..pA.","Peak..pA.","Amplitude..pA.","Rise.Time..ms.","Half.Width..ms.","Decay.Time..ms.","Decay.Fit.b0","Decay.Fit.b1","Decay.Fit.Tau..ms.","AUC..pA.ms.","rise_max_time","baseline_time","event_index","file_prefix","event_id","noise","event_entry_number"
1,0,0.23385,179.637300066953,181.997061968008,2.35976190105504,0.299999999999967,0.299999999999967,1,-80726.9216891368,80907.7528013824,254505.039098417,-106.239769105234,0.23385,0.23355,4677,"2026_01_20_0012","2026_01_20_0012_ev00001_rec0","no",313068
2,0,0.3329,180.985167175715,191.381140034437,10.3959728587222,5.90000000000002,3.24999999999998,2.19999999999998,179.569502762497,6.4223271461014,11.0045968163991,39.2692150342586,0.3328,0.3263,6658,"2026_01_20_0012","2026_01_20_0012_ev00002_rec0","no",313069
3,0,0.39035,185.25882729613,190.26631676926,5.00748947312971,0.599999999999989,0.750000000000028,0.400000000000011,180.740951219204,6.74413070429808,6.90961049139136,-88.6147612593183,0.39005,0.3886,7807,"2026_01_20_0012","2026_01_20_0012_ev00003_rec0","no",313070
4,0,0.5765,182.880970611889,185.4094696372,2.52849902531071,0.500000000000056,11.5500000000001,12.4000000000001,182.174602262815,5.54109595211091,10.1961370764614,37.2171613852483,0.5759,0.5754,11530,"2026_01_20_0012","2026_01_20_0012_ev00004_rec0","no",313071
5,0,0.60095,181.733173723683,183.913466435853,2.18029271217003,0.300000000000078,3.60000000000005,4.14999999999999,176.438783522173,7.87580469589991,16.2888064501957,-49.6199050785084,0.60095,0.60065,12019,"2026_01_20_0012","2026_01_20_0012_ev00005_rec0","no",313072
6,0,0.87855,183.24080928176,188.163085833573,4.92227655181281,1.80000000000002,2.75000000000003,3.29999999999997,171.68146996857,15.3140648705808,24.2990882308315,-78.2574867040032,0.87785,0.87525,17571,"2026_01_20_0012","2026_01_20_0012_ev00006_rec0","no",313073
7,0,0.9509,176.187118534277,182.221674745498,6.03455621122026,0.300000000000078,0.250000000000083,0,172.497033483106,4.507753238087,10.7753042040749,-64.4058427054281,0.9509,0.9506,19018,"2026_01_20_0012","2026_01_20_0012_ev00007_rec0","no",313074
8,0,1.26525,181.260911666708,184.012836775198,2.75192510848925,0.650000000000039,4.55000000000005,3.7999999999998,172.060196651235,12.9782757501429,15.9241136726186,-98.7290740343709,1.26465,1.2632,25305,"2026_01_20_0012","2026_01_20_0012_ev00008_rec0","no",313075
9,0,1.5164,182.323840407593,184.502570069275,2.17872966168284,0.300000000000189,6.30000000000019,8.1,182.421519011452,2.92104190447301,5.73172497069947,20.3844746271185,1.5164,1.516,30328,"2026_01_20_0012","2026_01_20_0012_ev00009_rec0","no",313076
10,0,1.54515,184.177368120921,191.204099889867,7.0267317689466,0.0499999999998835,0.149999999999872,0,166.572403945893,19.4007849402548,36.1096559248762,-131.948348798101,1.54495,1.5449,30903,"2026_01_20_0012","2026_01_20_0012_ev00010_rec0","no",313077
11,0,1.59195,171.366587397965,176.066337973359,4.69975057539341,0.55000000000005,13.6999999999998,15.9500000000001,170.596521820988,7.33841635851364,14.878563140232,78.1991477234518,1.59145,1.5909,31839,"2026_01_20_0012","2026_01_20_0012_ev00011_rec0","no",313078
12,0,1.8543,177.088774302961,180.137601457272,3.04882715431123,0.0500000000001055,0.099999999999989,0,174.468374719163,3.66069428085732,3.49977914069122,-65.6908224623729,1.8543,1.85415,37086,"2026_01_20_0012","2026_01_20_0012_ev00012_rec0","no",313079
13,0,2.5852,183.738564961291,190.342998717928,6.60443375663675,0.0500000000003276,0.0500000000003276,0,180.045189369849,6.05736542244912,5.18585223795322,-78.5277673535758,2.585,2.58495,51704,"2026_01_20_0012","2026_01_20_0012_ev00013_rec0","no",313080
14,0,2.71905,183.833276980301,188.041223200333,4.20794622003271,0.350000000000072,0.399999999999956,0,182.662082249022,2.46214848581923,2.70469105317128,-27.7828960680595,2.71895,2.71855,54381,"2026_01_20_0012","2026_01_20_0012_ev00014_rec0","no",313081
15,0,2.7467,183.229393837224,186.555964127213,3.32657028998889,0.299999999999745,1.70000000000003,1.74999999999992,175.794986442903,11.3963915903362,6.43983686765679,-149.204297350954,2.7467,2.7464,54934,"2026_01_20_0012","2026_01_20_0012_ev00015_rec0","no",313082
16,0,2.81895,176.695234700343,178.82228848887,2.12705378852795,0.299999999999745,12.3500000000001,10.8000000000001,78850.6898505389,-78675.2186511523,422466.508011988,47.7356270333185,2.81895,2.81865,56379,"2026_01_20_0012","2026_01_20_0012_ev00016_rec0","no",313083
17,0,3.07715,187.573140347798,190.086055995549,2.51291564775161,0.299999999999745,0.799999999999912,0.900000000000123,182.645876717673,6.86783593405456,5.80946731454073,-107.361502535028,3.07715,3.0767,61543,"2026_01_20_0012","2026_01_20_0012_ev00017_rec0","no",313084
18,0,3.22,178.651419647373,181.469951954789,2.81853230741567,0.399999999999956,1.85000000000013,1.85000000000013,176.55864041427,5.5741003380761,3.1847945649215,-43.7828262118505,3.22,3.21925,64400,"2026_01_20_0012","2026_01_20_0012_ev00018_rec0","no",313085
19,0,3.2551,179.048746969611,181.87315296152,2.82440599190929,0.249999999999861,0.899999999999679,0.750000000000028,176.998228259285,4.07434362205796,2.73620206155821,-49.9465034866934,3.2551,3.25465,65102,"2026_01_20_0012","2026_01_20_0012_ev00019_rec0","no",313086
20,0,3.36665,177.238915583642,181.781899963297,4.54298437965502,1.90000000000001,7.54999999999972,8.59999999999994,176.657383086112,7.22238950713517,7.39117972707033,49.0386073624177,3.36605,3.36405,67333,"2026_01_20_0012","2026_01_20_0012_ev00020_rec0","no",313087
21,0,3.52735,179.60827686975,182.53565969168,2.92738282192911,0.650000000000261,1.30000000000008,1.04999999999977,175.583532359914,5.74135465552901,8.78671218795742,-72.0211770242503,3.5271,3.52645,70547,"2026_01_20_0012","2026_01_20_0012_ev00021_rec0","no",313088
22,0,3.7477,188.26780019259,193.599219269239,5.33141907664918,0.0499999999998835,0.150000000000095,0,170.570046512404,18.934156722539,55.9020025893149,-91.1029219354,3.7477,3.74755,74954,"2026_01_20_0012","2026_01_20_0012_ev00022_rec0","no",313089
23,0,3.88145,181.800790564339,184.536938073689,2.7361475093505,1.19999999999987,2.8999999999999,2.40000000000018,173.552507214983,10.0492272862955,29.5999783637348,-55.9069578977187,3.8809,3.879,77629,"2026_01_20_0012","2026_01_20_0012_ev00023_rec0","no",313090
24,0,3.9374,180.757199495625,184.525081467969,3.76788197234404,0.0999999999997669,0.250000000000306,0,168.976502991787,12.6092996634213,63.7547716844558,-50.8580072723857,3.93735,3.93715,78748,"2026_01_20_0012","2026_01_20_0012_ev00024_rec0","no",313091
25,0,3.95905,174.998705826828,178.015242555384,3.01653672855667,0.0999999999997669,11.1499999999998,30.0000000000002,176.183319720493,2.50654311817909,5.38984426864239,49.4828420696844,3.95905,3.95895,79181,"2026_01_20_0012","2026_01_20_0012_ev00025_rec0","no",313092
26,0,4.0619,180.014418317128,182.384346356069,2.36992803894066,0.0999999999997669,30.1,27.3000000000003,19150.8254902366,-18972.0287078505,247090.112915046,-1.05140290276718,4.0619,4.0616,81238,"2026_01_20_0012","2026_01_20_0012_ev00026_rec0","no",313093
