Amplitude..pA.,Decay.Fit.b1,corrected_peak_amp_pA,event_index,corrected_peak_pA,corrected_peak_index,AUC..pA.ms.,Baseline..pA.,Rise.Time..ms.,noise,Decay.Time..ms.,event_id,corrected_peak_time,event_entry_number,Event.Time..s.,Decay.Fit.b0,rise_max_time,Half.Width..ms.,Event.Number,baseline_time,file_prefix,Record,Decay.Fit.Tau..ms.,Peak..pA.
-25.2052687952489,-25.7706728983205,,551,,,-240.515257817083,-133.803217422544,2.9,no,7.69999999999999,2026_01_13_0028_ev00001_rec0,,261166,0.02755,-132.735688023065,0.0266,8.65,1,0.02315,2026_01_13_0028,0,8.45281582603835,-159.008486217793
-27.3412545398597,-26.4565683611443,,2038,,,-229.120166977187,-133.081042438207,2.19999999999998,no,7.15000000000002,2026_01_13_0028_ev00002_rec0,,261167,0.1019,-131.340283819437,0.1009,7.3,2,0.09865,2026_01_13_0028,0,8.90823359069287,-160.422296978067
-23.9669649481486,-25.1673171446532,,2740,,,-173.539444174056,-133.236934852184,2.14999999999999,no,6.05,2026_01_13_0028_ev00003_rec0,,261168,0.137,-132.202285885175,0.13655,6.09999999999999,3,0.13415,2026_01_13_0028,0,6.48861767343389,-157.203899800333
-13.9409320646262,-17.2996274751421,,3429,,,-68.7628379310942,-134.477433969276,0.699999999999978,no,4.94999999999998,2026_01_13_0028_ev00004_rec0,,261169,0.17145,-132.451727311171,0.1691,6.44999999999998,4,0.1684,2026_01_13_0028,0,5.62166218984519,-148.418366033902
-9.90305783978525,-21.0592989366753,,4607,,,130.434125269645,-141.858829996144,0.549999999999995,no,3.40000000000001,2026_01_13_0028_ev00005_rec0,,261170,0.23035,-132.268430062531,0.23015,3.5,5,0.22935,2026_01_13_0028,0,7.31899543459699,-151.761887835929
-6.77433019591848,-8.62919565703475,,6038,,,-59.6956080311738,-133.448095704578,0.600000000000045,no,6.20000000000004,2026_01_13_0028_ev00006_rec0,,261171,0.3019,-133.770893087067,0.30045,6.05,6,0.2998,2026_01_13_0028,0,4.50370868735643,-140.222425900497
-11.5167934558151,-8.00894111846593,,6497,,,-141.015407139574,-129.561284492898,0.599999999999989,no,9.24999999999998,2026_01_13_0028_ev00007_rec0,,261172,0.32485,-132.929998073465,0.32475,5.69999999999998,7,0.32415,2026_01_13_0028,0,4.21277558145052,-141.078077948713
-5.98381009592424,-3.56877974885066,,8296,,,-172.409775246832,-126.679047993067,0.199999999999978,no,30,2026_01_13_0028_ev00008_rec0,,261173,0.4148,-131.923055964161,0.41375,31,8,0.41355,2026_01_13_0028,0,1.67829774477437,-132.662858088992
-19.9618423817153,-20.469447054428,,9242,,,-190.65066379985,-134.019908519625,3.85000000000002,no,6.80000000000003,2026_01_13_0028_ev00009_rec0,,261174,0.4621,-131.681176934461,0.4606,8.50000000000001,9,0.4567,2026_01_13_0028,0,9.11756164395554,-153.98175090134
-4.26958478312088,627889.258423769,,9932,,,-475.49089623346,-131.558592209041,0.349999999999961,no,8.05,2026_01_13_0028_ev00010_rec0,,261175,0.4966,-628006.052740178,0.4966,8.64999999999993,10,0.49625,2026_01_13_0028,0,308329.156712395,-135.828176992162
-55.5383731116704,-58.5536376244388,,10492,,,-579.202558116429,-142.397166748248,3.24999999999998,no,6.85000000000002,2026_01_13_0028_ev00011_rec0,,261176,0.5246,-141.661463281524,0.52235,9.00000000000001,11,0.51855,2026_01_13_0028,0,6.76637827933878,-197.935539859918
-4.98584506067982,-4.71815775859767,,11457,,,-97.0440720417738,-131.124029699271,0.749999999999917,no,30,2026_01_13_0028_ev00012_rec0,,261177,0.57285,-133.202432191948,0.5705,10.7,12,0.56775,2026_01_13_0028,0,2.77873326142738,-136.109874759951
-3.60649992449584,264272.062932785,,12294,,,-219.75181501149,-129.084975592777,0.399999999999956,no,6.75000000000003,2026_01_13_0028_ev00013_rec0,,261178,0.6147,-264397.603557208,0.6147,7.50000000000006,13,0.6143,2026_01_13_0028,0,366971.118635284,-132.691475517273
-21.1964072064983,-23.901506654854,,12825,,,-171.326327999316,-136.469119409788,0.949999999999895,no,7.00000000000001,2026_01_13_0028_ev00014_rec0,,261179,0.64125,-135.379945370785,0.6401,7.1,14,0.6388,2026_01_13_0028,0,7.12067028966454,-157.665526616286
-4.82729600857957,-6.34528162253703,,13340,,,82.5181920263903,-139.03889519543,0.0499999999999945,no,0.149999999999983,2026_01_13_0028_ev00015_rec0,,261180,0.667,-136.161427931471,0.667,0.249999999999972,15,0.6668,2026_01_13_0028,0,0.522987816931978,-143.86619120401
-12.0320387738013,-13.8756065666655,,13757,,,-94.1991081460062,-132.147534468122,0.399999999999956,no,7.1,2026_01_13_0028_ev00016_rec0,,261181,0.68785,-131.279827206275,0.686,7.34999999999997,16,0.6856,2026_01_13_0028,0,7.38068105988623,-144.179573241923
