corrected_baseline_pA,event_id,Record,Peak..pA.,corrected_amplitude_pA,Decay.Fit.b0,rise_max_time,event_entry_number,Event.Time..s.,file_prefix,Event.Number,corrected_baseline_index,corrected_baseline_time,Decay.Fit.Tau..ms.,event_index,baseline_time,Rise.Time..ms.,noise,Amplitude..pA.,Half.Width..ms.,Decay.Fit.b1,AUC..pA.ms.,Decay.Time..ms.,Baseline..pA.
,2026_04_28_0061_ev00001_rec0,0,-87.410535781954,,-71.9911715526355,0.03245,421196,0.0327,2026_04_28_0061,1,,,6.59902341175562,654,0.0321,0.25,no,-7.29382013825855,0.549999999999995,-10.4005600325267,174.282471209052,0,-80.1167156436955
,2026_04_28_0061_ev00002_rec0,0,-95.6077987201769,,-46428.4531832273,0.1285,421197,0.13185,2026_04_28_0061,2,,,312444.934862439,2637,0.1272,0.799999999999995,no,-16.0087779020272,32.35,46348.1524988987,-126.964803589739,30,-79.5990208181497
,2026_04_28_0061_ev00003_rec0,0,-95.7705719909608,,-12.9595889268111,0.1587,421198,0.16145,2026_04_28_0061,3,,,85.6054142378386,3229,0.15715,1.14999999999998,no,-18.8820067805922,14.05,-82.4362677017901,-234.536482317814,12.9,-76.8885652103686
,2026_04_28_0061_ev00004_rec0,0,-135.023044995022,,-75.6499227744594,0.21205,421199,0.21255,2026_04_28_0061,4,,,5.86159759809454,4251,0.20595,3.75,no,-46.1784027527476,5.05,-68.3839521486791,-84.0679323114505,4.8,-88.8446422422746
,2026_04_28_0061_ev00005_rec0,0,-104.64106341092,,-70.3235835978858,0.24195,421200,0.24255,2026_04_28_0061,5,,,15.3960336089792,4851,0.24095,0.899999999999956,no,-33.0864253702616,8.99999999999998,-30.0765101594868,-392.510615289342,12.3499999999999,-71.5546380406579
,2026_04_28_0061_ev00006_rec0,0,-263.660894952217,,-79.9226184499625,0.2804,421201,0.28445,2026_04_28_0061,6,,,11.4815792995505,5689,0.272,7.90000000000002,no,-189.302944672626,21,-218.634439129127,-4343.11050105796,14,-74.357950279591
,2026_04_28_0061_ev00007_rec0,0,-158.911263380442,,-88.153326947857,0.3252,421202,0.32555,2026_04_28_0061,7,,,8.30107654657231,6511,0.32055,4.05,no,-44.0236074475313,4.34999999999997,-69.3292055040348,140.182615959538,3.95000000000001,-114.887655932911
,2026_04_28_0061_ev00008_rec0,0,-112.434187968024,,85756.9980660993,0.35855,421203,0.35915,2026_04_28_0061,8,,,174459.244094339,7183,0.35815,0.300000000000022,no,-13.6888090078787,0.850000000000017,-85858.4461364801,131.086113693904,0,-98.745378960145
,2026_04_28_0061_ev00009_rec0,0,-122.883767129242,,-85.7504290520098,0.37535,421204,0.37655,2026_04_28_0061,9,,,2.74332700357445,7531,0.37455,0.799999999999967,no,-35.5728190047428,3.45000000000001,-35.0167590795185,-95.2757507169456,2.40000000000001,-87.3109481244987
,2026_04_28_0061_ev00010_rec0,0,-109.087186807405,,-75.3909827256107,0.40355,421205,0.4045,2026_04_28_0061,10,,,7.2346189571002,8090,0.40095,2.59999999999999,no,-37.6332483104734,11.55,-46.1581604283557,-568.582251155854,11.05,-71.4539384969313
,2026_04_28_0061_ev00011_rec0,0,-101.744562816247,,-65.0940214417016,0.4772,421206,0.47885,2026_04_28_0061,11,,,13.8692774580268,9577,0.46915,2.09999999999999,no,-27.4191102507535,10.3999999999999,-41.0134734865509,-353.792887187381,10.4,-74.3254525654932
,2026_04_28_0061_ev00012_rec0,0,-92.5347943209618,,91670.6137169276,0.51565,421207,0.5168,2026_04_28_0061,12,,,160471.531091418,10336,0.51445,0.399999999999956,no,-7.44612802077539,1.75000000000003,-91759.9453342396,118.837757375073,2.60000000000005,-85.0886663001864
,2026_04_28_0061_ev00013_rec0,0,-111.301280259863,,-72.1956267923512,0.55165,421208,0.5545,2026_04_28_0061,13,,,9.69512237046448,11090,0.55035,1.24999999999997,no,-37.7567653578815,10.5000000000001,-46.0627351278313,-501.361081756747,10.6499999999999,-73.5445149019814
,2026_04_28_0061_ev00014_rec0,0,-101.367917805789,,-83.5532592028391,0.66145,421209,0.6633,2026_04_28_0061,14,,,3.93216960553749,13266,0.6608,0.600000000000045,no,-27.992440709528,10.5500000000001,-30.6258056036647,-497.111714260903,20.2,-73.3754770962611
,2026_04_28_0061_ev00015_rec0,0,-103.749789208892,,-71.1974452134421,0.6866,421210,0.6866,2026_04_28_0061,15,,,7.95736340890587,13732,0.685,0.950000000000006,no,-11.4713525346201,0.300000000000078,-21.8684353136944,460.391494127465,0,-92.2784366742716
,2026_04_28_0061_ev00016_rec0,0,-93.9408858708463,,-84796.3886804837,0.74435,421211,0.7445,2026_04_28_0061,16,,,208249.834078313,14890,0.73645,4.40000000000007,no,-7.99082958076417,34.5000000000001,84718.9855582822,79.2419581785327,28.3,-85.9500562900822
