Amplitude..pA.,Decay.Fit.b1,corrected_peak_amp_pA,event_index,corrected_peak_pA,corrected_peak_index,AUC..pA.ms.,Baseline..pA.,Rise.Time..ms.,noise,Decay.Time..ms.,event_id,corrected_peak_time,event_entry_number,Event.Time..s.,Decay.Fit.b0,rise_max_time,Half.Width..ms.,Event.Number,baseline_time,file_prefix,Record,Decay.Fit.Tau..ms.,Peak..pA.
-8.31909335437197,-6.55588481951983,,94,,,-239.447992775288,-19.2758202928047,1.5,no,30,2026_04_28_0060_ev00001_rec0,,419553,0.00469999999999999,-24.3623366849458,0.00384999999999999,30.65,1,0.00234999999999999,2026_04_28_0060,0,9.59047287878712,-27.5949136471767
-3.83119544600424,-11.6157393501843,,1808,,,293.210927236037,-35.888995724762,0.300000000000022,no,0,2026_04_28_0060_ev00002_rec0,,419554,0.0904,-23.9068296090899,0.0904,0.300000000000022,2,0.09005,2026_04_28_0060,0,5.21720344894514,-39.7201911707663
-4.66429773733543,42282.2452944289,,3802,,,-53.0660422567308,-26.6986043946127,0.150000000000011,no,16.85,2026_04_28_0060_ev00003_rec0,,419555,0.1901,-42308.8551366006,0.1901,23.5,3,0.18865,2026_04_28_0060,0,392271.647886827,-31.3629021319481
-12.3700597086204,87291.8919150872,,4977,,,-439.374768008698,-15.0380195099892,0.300000000000022,no,0,2026_04_28_0060_ev00004_rec0,,419556,0.24885,-87313.510856685,0.24865,0.400000000000011,4,0.24835,2026_04_28_0060,0,167867.955191442,-27.4080792186096
-21.8964789015139,-26.5088651693727,,5397,,,-187.871767442435,-24.1567687002271,1.64999999999998,no,6.09999999999999,2026_04_28_0060_ev00005_rec0,,419557,0.26985,-23.9467726095294,0.2685,6.90000000000002,5,0.2666,2026_04_28_0060,0,5.24014097519741,-46.053247601741
-6.57304265125964,888394.560625588,,5763,,,-258.057243592257,-26.9327838236229,0.400000000000011,no,11.8,2026_04_28_0060_ev00006_rec0,,419558,0.28815,-888401.254476731,0.28805,12.7,6,0.28765,2026_04_28_0060,0,461784.019765396,-33.5058264748825
-96.5607210348982,-394.618906060462,,6420,,,-2240.56852616478,-29.0055414666754,6.14999999999999,no,20.45,2026_04_28_0060_ev00007_rec0,,419559,0.321,258.022928592399,0.3183,23.3,7,0.3119,2026_04_28_0060,0,101.836657610542,-125.566262501574
-21.6411988340072,434887.185874231,,8194,,,-199.508672769734,-36.1142252424074,2.64999999999999,no,19.1,2026_04_28_0060_ev00008_rec0,,419560,0.4097,-434917.539936257,0.4083,25.4,8,0.4049,2026_04_28_0060,0,603822.937471122,-57.7554240764147
-70.1923784216174,-710526.767070218,,8838,,,-1666.74621203771,-33.5748147988688,6.20000000000004,no,22.9,2026_04_28_0060_ev00009_rec0,,419561,0.4419,710415.370364593,0.4417,23.35,9,0.43545,2026_04_28_0060,0,313800.831409215,-103.767193220486
-56.1889375608801,-293.944545148406,,10339,,,-1415.28209809239,-59.7124508244018,14.3500000000001,no,14.5500000000001,2026_04_28_0060_ev00010_rec0,,419562,0.51695,177.863267473126,0.5113,22.3,10,0.49665,2026_04_28_0060,0,112.73036060919,-115.901388385282
-20.5249910505712,453435.758810085,,11764,,,-343.595809582261,-40.1212081981031,0.749999999999917,no,12.35,2026_04_28_0060_ev00011_rec0,,419563,0.5882,-453470.167593489,0.5865,16.95,11,0.58505,2026_04_28_0060,0,420455.032399541,-60.6461992486744
-35.1166995096529,-44.7555372302653,,12388,,,-452.30319434748,-55.1865345830808,5.14999999999999,no,8.49999999999995,2026_04_28_0060_ev00012_rec0,,419564,0.6194,-54.5194332410241,0.61855,10.4,12,0.6131,2026_04_28_0060,0,7.14829065234485,-90.3032340927336
-24.9848215114909,638818.045245334,,13030,,,-869.010191562613,-50.4172701759602,1.19999999999998,no,6.54999999999994,2026_04_28_0060_ev00013_rec0,,419565,0.6515,-638863.790005824,0.64975,9.70000000000004,13,0.64835,2026_04_28_0060,0,301533.854610649,-75.4020916874511
-91.0985609448767,-82.1153641291249,,13695,,,-1922.30754036206,-64.5753913309037,12.9,no,14.15,2026_04_28_0060_ev00014_rec0,,419566,0.68475,-82.7939234027147,0.6827,13.8,14,0.66825,2026_04_28_0060,0,8.49651246355075,-155.67395227578
-54.1921244026641,147417.223143713,,15589,,,-1478.04141906285,-49.0820272317572,11.6999999999999,no,0,2026_04_28_0060_ev00015_rec0,,419567,0.77945,-147499.148707608,0.7791,7.35000000000008,15,0.7668,2026_04_28_0060,0,507126.101451995,-103.274151634421
-56.9126453023749,-44.0684551562054,,16203,,,-1172.26744828969,-52.7795576247307,3.70000000000004,no,6.34999999999997,2026_04_28_0060_ev00016_rec0,,419568,0.81015,-69.8084355410738,0.8016,14.5500000000001,16,0.79745,2026_04_28_0060,0,2.65881424267761,-109.692202927106
-17.3071270684515,-49.873151862445,,16564,,,148.553536589317,-63.2290826069198,0.599999999999934,no,5.09999999999999,2026_04_28_0060_ev00017_rec0,,419569,0.8282,-44.1131959596474,0.82565,6.90000000000002,17,0.82485,2026_04_28_0060,0,7.57456690902146,-80.5362096753713
-10.732885519481,30321.3010539569,,17229,,,-19.5123206399815,-55.5099987741333,1.14999999999998,no,30,2026_04_28_0060_ev00018_rec0,,419570,0.86145,-30375.0121987017,0.85855,31.95,18,0.8574,2026_04_28_0060,0,229215.220782321,-66.2428842936143
-13.0571396244401,112088.169655448,,17686,,,-157.032850399187,-53.0188180615547,3.39999999999996,no,18.0499999999999,2026_04_28_0060_ev00019_rec0,,419571,0.8843,-112140.577174683,0.8841,26.8,19,0.88045,2026_04_28_0060,0,371281.999495723,-66.0759576859948
-30.3689554984844,-39.8164217594315,,18263,,,-244.606338749146,-50.5127703183505,1.80000000000002,no,6.34999999999997,2026_04_28_0060_ev00020_rec0,,419572,0.91315,-49.8807444121498,0.9128,6.70000000000004,20,0.9108,2026_04_28_0060,0,5.26057544504031,-80.8817258168348
-14.6926615742518,-101.361428023673,,18673,,,-167.70622263623,-41.7886007314923,0.299999999999967,no,14.6500000000001,2026_04_28_0060_ev00021_rec0,,419573,0.93365,47.0799036407777,0.9335,10.95,21,0.9332,2026_04_28_0060,0,202.957225426793,-56.4812623057441
-9.04294079445536,-17.6666659635285,,19339,,,-236.235965685002,-36.4855917914738,4.29999999999997,no,14.1499999999999,2026_04_28_0060_ev00022_rec0,,419574,0.96695,-39.3761588403446,0.96585,13.6500000000001,22,0.96095,2026_04_28_0060,0,3.86748186480814,-45.5285325859291
-8.74419017143362,-12.7390979404837,,20092,,,163.533953712573,-36.8468697415806,0.099999999999989,no,0.750000000000028,2026_04_28_0060_ev00023_rec0,,419575,1.0046,-28.9414539844058,1.0046,0.350000000000072,23,1.00435,2026_04_28_0060,0,5.7661284718448,-45.5910599130142
-41.6596324416942,-109.050655077269,,21582,,,951.570006262776,-109.632110217824,1.40000000000007,no,2.55000000000005,2026_04_28_0060_ev00024_rec0,,419576,1.0791,-41.3916089569562,1.07765,4.29999999999997,24,1.07615,2026_04_28_0060,0,9.61140715829006,-151.291742659518
-43.0359938777418,-6.67739689474808,,23391,,,-1095.701937015,-39.7637567820653,5.19999999999987,no,30,2026_04_28_0060_ev00025_rec0,,419577,1.16955,-68.0331604453912,1.16585,34.2499999999999,25,1.15945,2026_04_28_0060,0,2.00129770330933,-82.7997506598071
-65.8252382536028,-59.0371321804908,,23855,,,-803.923302118426,-42.6311352389409,2.1500000000001,no,8.9999999999999,2026_04_28_0060_ev00026_rec0,,419578,1.19275,-51.9537389582067,1.1918,8.50000000000017,26,1.1893,2026_04_28_0060,0,6.56701520772227,-108.456373492544
-8.76549762244993,-7.6514067225542,,25706,,,-56.9499972803013,-31.4025859847255,0.55000000000005,no,2.99999999999989,2026_04_28_0060_ev00027_rec0,,419579,1.2853,-32.0613436626649,1.2834,3.84999999999991,27,1.28245,2026_04_28_0060,0,2.75975364512209,-40.1680836071754
-7.83736058624587,-7.97865334487938,,28131,,,-170.527771719301,-24.890435233411,0.249999999999861,no,29.9999999999998,2026_04_28_0060_ev00028_rec0,,419580,1.40655,-29.2801140096578,1.40385,32.3,28,1.40345,2026_04_28_0060,0,1.83266667150184,-32.7277958196569
-18.2406534221976,-26.7805110489823,,29054,,,-95.458673814147,-30.3483924868041,4.79999999999992,no,5.64999999999993,2026_04_28_0060_ev00029_rec0,,419581,1.4527,-22.512058681592,1.4526,6.80000000000014,29,1.44745,2026_04_28_0060,0,9.29301524444107,-48.5890459090017
-5.82561435387374,92836.6994431917,,30011,,,122.696053047772,-30.9995178789707,0.099999999999989,no,30,2026_04_28_0060_ev00030_rec0,,419582,1.50055,-92859.3932917105,1.50055,30.1,30,1.50045,2026_04_28_0060,0,330538.574117644,-36.8251322328445
-20.6680073549807,-31.6627995128009,,30915,,,-182.136500214227,-27.6178793337271,2.09999999999999,no,9.29999999999986,2026_04_28_0060_ev00031_rec0,,419583,1.54575,-20.0353584883138,1.54505,9.30000000000009,31,1.54295,2026_04_28_0060,0,12.6928060731118,-48.2858866887078
-18.6788525575661,-19.9411789127113,,33223,,,-403.250470884189,-32.0912350881072,0.850000000000017,no,24.2,2026_04_28_0060_ev00032_rec0,,419584,1.66115,-36.9086100642245,1.65915,18.2499999999999,32,1.65815,2026_04_28_0060,0,10.7357411662262,-50.7700876456734
-54.574717444319,-170192.684754647,,36906,,,-1042.45077943268,-21.0969171301168,4.14999999999988,no,26.7999999999999,2026_04_28_0060_ev00033_rec0,,419585,1.8453,170129.773882453,1.845,21.1999999999999,33,1.8408,2026_04_28_0060,0,210771.777241279,-75.6716345744358
-21.287372479857,-42.5188462777067,,37191,,,20.3082354472267,-41.6168673646208,1.60000000000005,no,6.09999999999999,2026_04_28_0060_ev00034_rec0,,419586,1.85955,-25.4688209699993,1.8588,6.14999999999988,34,1.8571,2026_04_28_0060,0,10.704822167195,-62.9042398444778
-7.48084757769701,-11.4052781908446,,37822,,,112.544322025522,-30.4847078748297,0.099999999999989,no,1.55000000000016,2026_04_28_0060_ev00035_rec0,,419587,1.8911,-24.5905515646661,1.8911,0.99999999999989,35,1.891,2026_04_28_0060,0,5.65885343492141,-37.9655554525267
-12.5212188899421,-11.4722823163862,,38679,,,-87.999364575265,-31.7558211052479,1.00000000000011,no,3.44999999999995,2026_04_28_0060_ev00036_rec0,,419588,1.93395,-33.2247792167799,1.93375,3.14999999999999,36,1.93245,2026_04_28_0060,0,2.6786084035687,-44.27703999519
-5.113934984448,30457.9488193083,,39098,,,41.9615824507999,-35.5474444581048,0.099999999999989,no,30.0000000000002,2026_04_28_0060_ev00037_rec0,,419589,1.9549,-30490.9445480255,1.9547,30.2500000000003,37,1.9546,2026_04_28_0060,0,405868.816827924,-40.6613794425528
-8.41277906036195,-20.3325810608197,,39540,,,-12.1797719979653,-29.4166526029301,0.599999999999934,no,8.3000000000002,2026_04_28_0060_ev00038_rec0,,419590,1.977,-20.2791292290638,1.977,7.09999999999988,38,1.9764,2026_04_28_0060,0,16.362555715192,-37.829431663292
-9.73759507469233,33828.0957568314,,40478,,,-228.05582997941,-23.2006765683815,0.0999999999997669,no,0,2026_04_28_0060_ev00039_rec0,,419591,2.0239,-33857.6399571886,2.0239,0.0999999999997669,39,2.0238,2026_04_28_0060,0,414620.660315344,-32.9382716430738
-28.3653279019893,-23.6248784466821,,45364,,,-522.943108473564,-23.0017612572682,4,no,30.0000000000002,2026_04_28_0060_ev00040_rec0,,419592,2.2682,-34.3334821701088,2.2678,10.65,40,2.2637,2026_04_28_0060,0,3.61652522048639,-51.3670891592575
-12.8361921119981,-27.991321697549,,45915,,,93.8460066842679,-37.7379096941209,0.850000000000239,no,4.8499999999998,2026_04_28_0060_ev00041_rec0,,419593,2.29575,-23.5576260365713,2.2954,4.85000000000024,41,2.2942,2026_04_28_0060,0,12.4239893378787,-50.574101806119
-14.4395217429485,-28.9624415655213,,46694,,,-242.743442056106,-25.4342148293018,2.40000000000018,no,11.8499999999999,2026_04_28_0060_ev00042_rec0,,419594,2.3347,-20.9836364627789,2.33145,14.6500000000001,42,2.3281,2026_04_28_0060,0,10.9259636379332,-39.8737365722504
-15.6072029402478,-22.3968344571286,,48035,,,305.333104635757,-41.764340688244,0.500000000000167,no,0,2026_04_28_0060_ev00043_rec0,,419595,2.40175,-24.3119927568639,2.40175,0.249999999999861,43,2.39925,2026_04_28_0060,0,10.2053306542181,-57.3715436284918
-9.95893330312019,-9.48944597250682,,50346,,,95.6237428948369,-29.3745567625694,0.14999999999965,no,0,2026_04_28_0060_ev00044_rec0,,419596,2.5173,-22.1311997964735,2.5173,0.0999999999997669,44,2.51715,2026_04_28_0060,0,14.7009768758679,-39.3334900656896
-15.16902261562,-7.99301635263003,,51452,,,-222.930674516489,-22.026718632954,1.65000000000015,no,19.2500000000004,2026_04_28_0060_ev00045_rec0,,419597,2.5726,-27.4517297057421,2.57185,8.75000000000004,45,2.56995,2026_04_28_0060,0,5.1326199147773,-37.195741248574
-12.638679252454,-19.5310186513896,,52132,,,-186.891803839835,-26.8152975884541,0.899999999999679,no,8.9999999999999,2026_04_28_0060_ev00046_rec0,,419598,2.6066,-27.7700483751338,2.60365,11.1500000000002,46,2.60115,2026_04_28_0060,0,5.43808428824711,-39.4539768409081
-18.7483521056637,-26.1879756490839,,56275,,,-79.8179958448697,-29.216233813857,0.500000000000167,no,7.2000000000001,2026_04_28_0060_ev00047_rec0,,419599,2.81375,-19.6324005574498,2.8128,6.15000000000032,47,2.8118,2026_04_28_0060,0,15.6080389945272,-47.9645859195207
-5.94737875069524,-7.41289958343016,,57680,,,85.4415062983582,-28.3811826265409,0.55000000000005,no,0.699999999999701,2026_04_28_0060_ev00048_rec0,,419600,2.884,-24.0621690129211,2.88385,0.99999999999989,48,2.88305,2026_04_28_0060,0,5.60790047047298,-34.3285613772362
-4.28194605117135,-21.6205132975297,,58550,,,126.482253063251,-33.233500588044,1.39999999999985,no,4.1500000000001,2026_04_28_0060_ev00049_rec0,,419601,2.9275,-23.4611779264494,2.9258,6.69999999999993,49,2.92175,2026_04_28_0060,0,6.45433039558486,-37.5154466392153
-21.2967964451331,-14.084704964064,,60420,,,-176.18451116551,-23.8897869579607,2.8999999999999,no,2.94999999999979,2026_04_28_0060_ev00050_rec0,,419602,3.021,-27.2738457883637,3.02085,4.60000000000038,50,3.01795,2026_04_28_0060,0,2.58062880663291,-45.1865834030938
-2.01269925881978,-13.5534818889527,,60805,,,189.814258025802,-30.9780374448149,0.0500000000003276,no,1.90000000000001,2026_04_28_0060_ev00051_rec0,,419603,3.04025,-20.7858027421737,3.04025,1.75000000000036,51,3.04015,2026_04_28_0060,0,8.85678618919416,-32.9907367036347
-6.73728836173168,-11.3668602544947,,63504,,,-33.8749597429812,-23.2949441622896,0.100000000000211,no,7.7499999999997,2026_04_28_0060_ev00052_rec0,,419604,3.1752,-21.3237242698287,3.1752,6.25000000000009,52,3.1751,2026_04_28_0060,0,8.30151490386903,-30.0322325240212
-8.37692023064238,28.6809913839932,,67791,,,-146.013142861445,-27.4631146328573,0,no,11.05,2026_04_28_0060_ev00053_rec0,,419605,3.38955,-51.6435914912644,3.3895,13.0000000000003,53,3.38925,2026_04_28_0060,0,35.8899050330585,-35.8400348634997
-23.0316664976432,-29.1755793225812,,68152,,,-205.658179637163,-25.2888111732897,1.39999999999985,no,8.75000000000004,2026_04_28_0060_ev00054_rec0,,419606,3.4076,-20.882327290505,3.40645,7.55000000000017,54,3.4048,2026_04_28_0060,0,10.7638623179819,-48.3204776709329
-34.7677712023824,-36.1625623471763,,70865,,,-445.701864024141,-22.1424809805292,3.24999999999998,no,10.65,2026_04_28_0060_ev00055_rec0,,419607,3.54325,-21.9427639134622,3.5427,10.6000000000002,55,3.53945,2026_04_28_0060,0,10.4745186499667,-56.9102521829115
-39.0481912221245,-44.8926110770848,,73146,,,-846.104005307434,-19.7409900869874,3.95000000000012,no,11.1499999999998,2026_04_28_0060_ev00056_rec0,,419608,3.6573,-23.066112894696,3.64925,19.4000000000001,56,3.64415,2026_04_28_0060,0,7.99755089646207,-58.789181309112
-15.1489592550323,-20.3063675715348,,73888,,,-198.116904114888,-23.3806049124632,3.09999999999988,no,9.90000000000002,2026_04_28_0060_ev00057_rec0,,419609,3.6944,-22.3229079518769,3.6938,10.3999999999997,57,3.6903,2026_04_28_0060,0,8.87570021197554,-38.5295641674955
-31.1267443454474,-23.8214637234545,,75357,,,-633.304389615768,-23.7104322769326,2.75000000000025,no,29.9999999999998,2026_04_28_0060_ev00058_rec0,,419610,3.76785,-36.4606034217953,3.7667,15.9000000000002,58,3.7631,2026_04_28_0060,0,5.96599800504914,-54.83717662238
-10.1508837355903,-24.8422053624126,,75695,,,366.379480953031,-43.5326330245022,0.899999999999679,no,0.349999999999628,2026_04_28_0060_ev00059_rec0,,419611,3.78475,-23.3888001695421,3.7843,0.0500000000003276,59,3.7831,2026_04_28_0060,0,9.68276552085067,-53.6835167600926
-9.86129522207279,-8.09709529051522,,76309,,,82.652196174625,-24.6439533387143,0.300000000000189,no,0.199999999999978,2026_04_28_0060_ev00060_rec0,,419612,3.81545,-20.6806065438848,3.81545,0,60,3.81515,2026_04_28_0060,0,3.56306080417161,-34.5052485607871
-6.73393604612396,-12.0169896599534,,82209,,,-123.07802842073,-21.9913143417285,0.300000000000189,no,16.9000000000006,2026_04_28_0060_ev00061_rec0,,419613,4.11045,-21.5047406451789,4.11035,14.0499999999992,61,4.11005,2026_04_28_0060,0,12.1013744225476,-28.7252503878524
-10.7768936013678,-15.6171244255077,,83135,,,148.332113248794,-28.2591780029296,0.0499999999998835,no,0,2026_04_28_0060_ev00062_rec0,,419614,4.15675,-13.7496859373367,4.15675,0.0499999999998835,62,4.15665,2026_04_28_0060,0,27.7847779206515,-39.0360716042973
-22.7899734896432,-14.9896277580577,,83963,,,-166.94148871621,-20.3351292746248,2.45000000000051,no,3.69999999999937,2026_04_28_0060_ev00063_rec0,,419615,4.19815,-21.3177175696674,4.19705,3.35000000000019,63,4.1944,2026_04_28_0060,0,5.28761602859574,-43.1251027642679
-4.27276506249244,-12.995431503362,,86887,,,39.9871012002876,-22.6697979111056,0.0999999999997669,no,6.30000000000042,2026_04_28_0060_ev00064_rec0,,419616,4.34435,-16.291906884846,4.34435,5.5499999999995,64,4.34425,2026_04_28_0060,0,12.8294937806722,-26.942562973598
-17.4627083591024,-9.79799443411512,,87648,,,-125.482949300437,-21.0425248929473,1.44999999999929,no,4.10000000000021,2026_04_28_0060_ev00065_rec0,,419617,4.3824,-22.6856479579945,4.38215,3.75000000000014,65,4.38,2026_04_28_0060,0,5.8011621592288,-38.5052332520497
-9.09218162896546,-694.849242358718,,90143,,,3.62340624873923,-32.3439322618979,1.54999999999994,no,6.49999999999995,2026_04_28_0060_ev00066_rec0,,419618,4.50715,656.045029264301,4.50695,6.49999999999995,66,4.50365,2026_04_28_0060,0,1455.30345885961,-41.4361138908634
-16.981858273772,-12.9259271022444,,92329,,,-823.573302512298,-19.7057309263299,12.9000000000001,no,13.0999999999997,2026_04_28_0060_ev00067_rec0,,419619,4.61645,-23.5282812598761,4.61005,27.8999999999998,67,4.5964,2026_04_28_0060,0,7.9106745254344,-36.6875892001019
-5.73866144981624,-16.2271242947042,,93319,,,83.0186703763258,-27.8714398499299,0.350000000000072,no,3.35000000000019,2026_04_28_0060_ev00068_rec0,,419620,4.66595,-16.3652549302713,4.66355,3.49999999999984,68,4.66295,2026_04_28_0060,0,19.2593251537291,-33.6101012997461
-55.5567465987928,-228456.405095879,,95747,,,-2524.81863088297,-23.6869600104857,20.4000000000004,no,29.9999999999994,2026_04_28_0060_ev00069_rec0,,419621,4.78735,228384.405728887,4.78475,51.7500000000002,69,4.7642,2026_04_28_0060,0,340660.468244507,-79.2437066092785
-17.0370403368847,-243046.003298702,,97147,,,191.618220115469,-66.0435790704794,2.50000000000039,no,2.15000000000032,2026_04_28_0060_ev00070_rec0,,419622,4.85735,242971.375739937,4.85605,2.79999999999969,70,4.85345,2026_04_28_0060,0,228913.939714294,-83.0806194073641
