"Event.Number","Record","Event.Time..s.","Baseline..pA.","Peak..pA.","Amplitude..pA.","Rise.Time..ms.","Half.Width..ms.","Decay.Time..ms.","Decay.Fit.b0","Decay.Fit.b1","Decay.Fit.Tau..ms.","AUC..pA.ms.","rise_max_time","baseline_time","event_index","file_prefix","event_id","noise","event_entry_number"
1,0,0.0244999991989136,-303.995933853613,-314.082947255146,-10.0870134015336,0.150000000000004,0.0500000000000014,0,91671.7803123456,-91978.6969143192,140001.359576632,204.935690057624,0.0242499991989136,0.0240999991989136,490,"2026_01_20_0040","2026_01_20_0040_ev00001_rec0","no",344840
2,0,0.0637499991989136,-291.357872367586,-317.498636926688,-26.1407645591024,2.65,7.14999999999999,8.89999999999999,-289.297274120476,-25.1240356858983,11.666895868604,-251.996338428427,0.0634999991989136,0.0606999991989136,1275,"2026_01_20_0040","2026_01_20_0040_ev00002_rec0","no",344841
3,0,0.119599999198914,-304.646950473139,-307.604084275187,-2.9571338020483,0.299999999999995,0.149999999999983,0,-297.416877004908,-6.19458513940319,5.12498888549462,185.032803439618,0.119599999198914,0.119149999198914,2392,"2026_01_20_0040","2026_01_20_0040_ev00003_rec0","no",344842
4,0,0.147699999198914,-301.981642710214,-306.020567989867,-4.03892527965309,0.700000000000006,0.450000000000006,0,44205.9953001388,-44501.8467871477,290354.358931718,253.0283352562,0.147699999198914,0.146999999198914,2954,"2026_01_20_0040","2026_01_20_0040_ev00004_rec0","no",344843
5,0,0.212399999198914,-296.089883865993,-409.796869589773,-113.70698572378,7.95000000000001,16.85,11.15,-282.570645250208,-131.671353808483,12.9122072057644,-1969.29854732998,0.210049999198914,0.201249999198914,4248,"2026_01_20_0040","2026_01_20_0040_ev00005_rec0","no",344844
6,0,0.255999999198914,-304.963383023242,-312.592177133761,-7.6287941105191,0.749999999999973,14.35,13.3,-431656.548225393,431363.812340367,381273.428915158,-143.967148091361,0.255899999198914,0.254949999198914,5120,"2026_01_20_0040","2026_01_20_0040_ev00006_rec0","no",344845
7,0,0.278799999198914,-293.298088509768,-333.216071888293,-39.9179833785249,6.90000000000002,17.45,15,-271.596108103863,-58.7830546458065,31.4421880702344,-674.374013986105,0.277949999198914,0.270699999198914,5576,"2026_01_20_0040","2026_01_20_0040_ev00007_rec0","no",344846
8,0,0.331549999198914,-293.292194028555,-325.729763147826,-32.4375691192708,2.05,9.45000000000001,6.75000000000003,-288.739059541888,-36.6836606881978,8.49683107800202,-299.282155955699,0.327499999198914,0.325349999198914,6631,"2026_01_20_0040","2026_01_20_0040_ev00008_rec0","no",344847
9,0,0.371699999198914,-286.963614377262,-331.163610082316,-44.1999957050542,1.59999999999999,10.7,30,-304.250816424377,-31.5649228818126,4.46458790775652,-749.556953072016,0.370399999198914,0.368749999198914,7434,"2026_01_20_0040","2026_01_20_0040_ev00009_rec0","no",344848
10,0,0.404049999198914,-302.160670377077,-324.639256601015,-22.4785862239375,8.55,9.74999999999998,3.30000000000003,-301.53932954301,-26.2514397327382,3.06841553256046,-177.96989603905,0.403699999198914,0.394749999198914,8081,"2026_01_20_0040","2026_01_20_0040_ev00010_rec0","no",344849
11,0,0.436899999198914,-298.077862900663,-314.643364295175,-16.5655013945117,3.44999999999995,12.85,9.24999999999998,-285.175493820961,-32.35160408241,17.4803236183494,-156.817166140783,0.434499999198914,0.430999999198914,8738,"2026_01_20_0040","2026_01_20_0040_ev00011_rec0","no",344850
12,0,0.484099999198914,-285.960310703644,-310.647396101985,-24.6870853983411,3.80000000000003,10.7,2.79999999999991,-734548.814764318,734257.426816589,553050.444790683,-868.753126806505,0.481999999198914,0.476949999198914,9682,"2026_01_20_0040","2026_01_20_0040_ev00012_rec0","no",344851
13,0,0.514699999198914,-309.441991564743,-343.465988255122,-34.0239966903787,4.85000000000002,6.85000000000002,0,-332.420491927099,0.724480183119858,5.21909807247681,-902.071842926509,0.511449999198914,0.505899999198913,10294,"2026_01_20_0040","2026_01_20_0040_ev00013_rec0","no",344852
14,0,0.529199999198914,-321.827760997998,-348.60412087439,-26.7763598763919,4.65000000000004,11.65,7.54999999999995,-272.226462315138,-82.8401683569785,22.7612218625026,4.42872397097898,0.528299999198914,0.523649999198914,10584,"2026_01_20_0040","2026_01_20_0040_ev00014_rec0","no",344853
15,0,0.582099999198914,-297.311430841548,-327.969612555328,-30.6581817137802,4.39999999999996,7.65000000000005,8.44999999999996,-299.351548140006,-22.2377207431523,9.72420011707723,-346.912641170283,0.581999999198914,0.577249999198914,11642,"2026_01_20_0040","2026_01_20_0040_ev00015_rec0","no",344854
