"Event.Number","Record","Event.Time..s.","Baseline..pA.","Peak..pA.","Amplitude..pA.","Rise.Time..ms.","Half.Width..ms.","Decay.Time..ms.","Decay.Fit.b0","Decay.Fit.b1","Decay.Fit.Tau..ms.","AUC..pA.ms.","rise_max_time","baseline_time","event_index","file_prefix","event_id","noise","event_entry_number"
1,0,0.0166,-113.363431419355,-120.311007045718,-6.94757562636342,0.199999999999999,0.550000000000009,1.25,-104.814053381741,-12.5409516460051,10.4026473848036,130.399865747853,0.01595,0.01575,332,"2026_04_23_0014","2026_04_23_0014_ev00001_rec0","no",382234
2,0,0.0515,-102.954236893833,-107.263569336993,-4.30933244316074,0.099999999999989,30.35,30,-106.609234494365,-5.08952155748925,4.05732516062727,-133.861521603588,0.05115,0.05105,1030,"2026_04_23_0014","2026_04_23_0014_ev00002_rec0","no",382235
3,0,0.0748,-109.532452334739,-115.381910317659,-5.84945798292026,0.200000000000006,0.25,0,-104.028396531175,-6.31447800344885,5.71635459667457,129.076053388822,0.0748,0.07445,1496,"2026_04_23_0014","2026_04_23_0014_ev00003_rec0","no",382236
4,0,0.2005,-104.373215811127,-110.248958576323,-5.87574276519638,0.450000000000006,19.25,23.15,-103.629298943949,-9.73237336586274,19.2362732710287,-131.376595751584,0.20025,0.1998,4010,"2026_04_23_0014","2026_04_23_0014_ev00004_rec0","no",382237
5,0,0.26175,-107.363832783483,-120.477196289564,-13.1133635060812,0.549999999999995,5.55,7.6,-101.039935854728,-16.1550579202972,20.5786873687828,-81.0665440690621,0.26065,0.25965,5235,"2026_04_23_0014","2026_04_23_0014_ev00005_rec0","no",382238
6,0,0.32255,-109.029885972885,-121.831644323643,-12.8017583507585,2.84999999999996,5.40000000000002,5.70000000000004,-99.3185426378598,-19.4313190380858,19.310942620148,-33.6502099708771,0.32155,0.3186,6451,"2026_04_23_0014","2026_04_23_0014_ev00006_rec0","no",382239
7,0,0.38855,-104.521572092019,-140.572783492778,-36.0512114007595,2.75000000000003,11.85,13.35,-88.8285170936138,-48.0783648094602,26.512607872899,-471.953884078791,0.38785,0.38495,7771,"2026_04_23_0014","2026_04_23_0014_ev00007_rec0","no",382240
8,0,0.5287,-105.142645752922,-134.869680299259,-29.7270345463367,7.1,22.25,22.25,-48.8097338468062,-89.4595406916882,78.3022351477389,-750.963857950261,0.52765,0.52005,10574,"2026_04_23_0014","2026_04_23_0014_ev00008_rec0","no",382241
9,0,0.6149,-106.325129740304,-129.464122979203,-23.1389932388994,2.85000000000002,16.7999999999999,19.5000000000001,68478.5772937946,-68606.3249077415,104021.411204476,-400.470181219383,0.61445,0.61155,12298,"2026_04_23_0014","2026_04_23_0014_ev00009_rec0","no",382242
10,0,0.69545,-106.496302880185,-117.759745806682,-11.2634429264967,5.95000000000001,22.1,19.7000000000001,13928.3732212498,-14046.549275622,36786.1146661138,-277.936586931142,0.69495,0.6882,13909,"2026_04_23_0014","2026_04_23_0014_ev00010_rec0","no",382243
11,0,0.80255,-104.625201832067,-111.586911688687,-6.96170985661998,0.44999999999995,17.1,21.15,-104.078764732907,-11.1231523003512,16.6440772997622,-146.485823173933,0.8022,0.80175,16051,"2026_04_23_0014","2026_04_23_0014_ev00011_rec0","no",382244
12,0,0.96115,-109.027203494344,-129.170885894397,-20.1436824000532,4.05,9.29999999999998,14.3,-111.567077853089,-10.6748076596895,18.4178467695662,-317.403835383343,0.9599,0.9535,19223,"2026_04_23_0014","2026_04_23_0014_ev00012_rec0","no",382245
13,0,0.9823,-103.516145201284,-114.339059996027,-10.8229147947432,0.750000000000028,2.25000000000009,0,-283681.977846719,283573.574367599,483608.920300522,-434.777628534342,0.9813,0.98055,19646,"2026_04_23_0014","2026_04_23_0014_ev00013_rec0","no",382246
14,0,1.00905,-116.846184748085,-129.031706892296,-12.1855221442118,2.04999999999989,11.5000000000001,10.3499999999999,-114.629130020704,-19.1166465741818,9.88474291529407,-151.23870698364,1.00795,1.0054,20181,"2026_04_23_0014","2026_04_23_0014_ev00014_rec0","no",382247
15,0,1.07455,-118.443207362235,-142.665768846061,-24.222561483826,1.95000000000012,12.3500000000001,12.3,-92.6587980034649,-50.9102144590647,32.2078253201298,-297.403475974507,1.0725,1.0697,21491,"2026_04_23_0014","2026_04_23_0014_ev00015_rec0","no",382248
16,0,1.21135,-104.250967408053,-123.581439357463,-19.3304719494106,2.85000000000002,18.0499999999999,17.6499999999999,-104.770155083091,-23.0579334468564,14.1513955601851,-406.413085513227,1.2091,1.20595,24227,"2026_04_23_0014","2026_04_23_0014_ev00016_rec0","no",382249
17,0,1.318,-103.608961099976,-115.236598781919,-11.6276376819428,4.19999999999998,19.45,15.6000000000001,-103.936393652811,-14.2917121017027,12.1758323545053,-283.326830953003,1.31435,1.3091,26360,"2026_04_23_0014","2026_04_23_0014_ev00017_rec0","no",382250
18,0,1.38485,-115.129035659039,-118.467924912978,-3.33888925393947,0.199999999999978,25.6999999999998,23.6499999999999,-154041.795882869,153930.986313005,655862.18674573,23.3900896355275,1.38485,1.3845,27697,"2026_04_23_0014","2026_04_23_0014_ev00018_rec0","no",382251
19,0,1.4067,-121.136828341598,-125.448761784474,-4.31193344287604,0.799999999999912,2.24999999999986,0.55000000000005,-116.047422472732,-8.19845409559983,2.61997037308626,128.498948520712,1.40545,1.40465,28134,"2026_04_23_0014","2026_04_23_0014_ev00019_rec0","no",382252
20,0,1.42795,-113.587732864912,-119.043855834409,-5.456122969497,0.149999999999872,3.80000000000003,4.80000000000014,-112.905970354307,-8.1114735303863,4.38448796015264,-16.2207405593501,1.42795,1.4278,28559,"2026_04_23_0014","2026_04_23_0014_ev00020_rec0","no",382253
21,0,1.4467,-116.349116162905,-123.010460252515,-6.66134408961004,0.099999999999989,0.0500000000001055,0,-108.85692052207,-8.33880048723109,6.69001625783086,169.64904983389,1.4467,1.4466,28934,"2026_04_23_0014","2026_04_23_0014_ev00021_rec0","no",382254
22,0,1.6437,-106.156192076823,-113.185732611822,-7.02954053499917,2.90000000000012,17.05,29.9999999999998,-108.884502490788,-8.7614040399108,5.93830486927809,-164.106585548789,1.64325,1.63995,32874,"2026_04_23_0014","2026_04_23_0014_ev00022_rec0","no",382255
23,0,1.66445,-100.82606358635,-107.802222124207,-6.97615853785695,0.299999999999967,19.45,26.4,-102.146568360289,-9.48068453642604,13.0931991240141,-164.122495462653,1.6635,1.6632,33289,"2026_04_23_0014","2026_04_23_0014_ev00023_rec0","no",382256
24,0,1.77685,-116.054645180098,-216.228782500784,-100.174137320686,9.10000000000011,20.4499999999999,17.6000000000001,-125.187534797535,-98.9647764759409,13.9144966055428,-2242.12237325039,1.77445,1.76515,35537,"2026_04_23_0014","2026_04_23_0014_ev00024_rec0","no",382257
25,0,1.89415,-119.60966419641,-131.259520446151,-11.6498562497403,1.14999999999998,4.30000000000019,2.39999999999996,-119.672918373146,-12.7331069395105,2.20309843529593,-53.7120778570206,1.89255,1.8913,37883,"2026_04_23_0014","2026_04_23_0014_ev00025_rec0","no",382258
26,0,1.927,-114.338076749583,-156.8094493793,-42.4713726297175,4.19999999999998,13.25,30,-130.735949133566,-23.8231254338439,6.54821415175377,-758.188714430626,1.9266,1.92225,38540,"2026_04_23_0014","2026_04_23_0014_ev00026_rec0","no",382259
