corrected_baseline_pA,event_id,Record,Peak..pA.,corrected_amplitude_pA,Decay.Fit.b0,rise_max_time,event_entry_number,Event.Time..s.,file_prefix,Event.Number,corrected_baseline_index,corrected_baseline_time,Decay.Fit.Tau..ms.,event_index,baseline_time,Rise.Time..ms.,noise,Amplitude..pA.,Half.Width..ms.,Decay.Fit.b1,AUC..pA.ms.,Decay.Time..ms.,Baseline..pA.
,2026_01_20_0023_ev00001_rec0,0,266.269433784473,,252.694086851476,0.04875,325599,0.04875,2026_01_20_0023,1,,,11.1201531224922,975,0.04745,0.399999999999998,no,6.35039246286499,0.449999999999992,10.2810232566181,-108.225619660352,0.800000000000009,259.919041321608
,2026_01_20_0023_ev00002_rec0,0,266.855961807491,,260.76911493578,0.08605,325600,0.0904,2026_01_20_0023,2,,,2.105595724316,1808,0.08275,2.24999999999997,no,10.1323122320397,4.44999999999998,5.24364676776774,179.715062471746,30,256.723649575452
,2026_01_20_0023_ev00003_rec0,0,262.59062037404,,217.97689264532,0.13445,325601,0.13505,2026_01_20_0023,3,,,146.331105393198,2701,0.1343,0.150000000000011,no,3.57054317763078,6.39999999999999,44.6247816849391,-17.1027301568403,7.60000000000002,259.020077196409
,2026_01_20_0023_ev00004_rec0,0,258.686382531393,,149856.632419272,0.4331,325602,0.43345,2026_01_20_0023,4,,,453585.588312582,8669,0.43305,0.05000000000005,no,4.01946207522795,0.349999999999961,-149599.535853352,223.787308187003,0,254.666920456165
,2026_01_20_0023_ev00005_rec0,0,270.232554962091,,262.993038792045,0.46,325603,0.46125,2026_01_20_0023,5,,,4.78828486537051,9225,0.458,1.14999999999998,no,5.7852901920453,4,5.48533972505985,-8.64980057306634,2,264.447264770045
,2026_01_20_0023_ev00006_rec0,0,266.61658564235,,-37378.5690833424,0.52605,325604,0.52605,2026_01_20_0023,6,,,388225.028217951,10521,0.5258,0.249999999999972,no,3.40385930506977,0.199999999999978,37640.0435729599,-95.1824195063421,0,263.21272633728
,2026_01_20_0023_ev00007_rec0,0,264.956604265353,,253.069829464538,0.5567,325605,0.5567,2026_01_20_0023,7,,,10.5803034354002,11134,0.5566,0.0499999999999945,no,4.96759418289918,0.0499999999999945,8.24081012831343,-125.419274312188,0,259.989010082454
,2026_01_20_0023_ev00008_rec0,0,269.937829801822,,259.180148095456,0.6727,325606,0.6728,2026_01_20_0023,8,,,3.49498135449359,13456,0.6709,1.30000000000008,no,8.76388474843441,1.05,6.03934514256098,-35.3440641668196,0.499999999999945,261.173945053388
,2026_01_20_0023_ev00009_rec0,0,270.838956249503,,251.032554128585,0.7017,325607,0.7017,2026_01_20_0023,9,,,6.67806710015817,14034,0.70045,0.300000000000078,no,9.59723727341515,0.900000000000012,16.5114839203204,-194.905590918671,1.19999999999998,261.241718976088
,2026_01_20_0023_ev00010_rec0,0,264.822896727884,,258.619233499397,0.81115,325608,0.81115,2026_01_20_0023,10,,,2.67105782993212,16223,0.81085,0.299999999999967,no,5.20887906055827,0.249999999999972,3.26288126720031,-20.283258721337,0.299999999999967,259.614017667326
