Amplitude..pA.,Decay.Fit.b1,corrected_peak_amp_pA,event_index,corrected_peak_pA,corrected_peak_index,AUC..pA.ms.,Baseline..pA.,Rise.Time..ms.,noise,Decay.Time..ms.,event_id,corrected_peak_time,event_entry_number,Event.Time..s.,Decay.Fit.b0,rise_max_time,Half.Width..ms.,Event.Number,baseline_time,file_prefix,Record,Decay.Fit.Tau..ms.,Peak..pA.
-13.2302551707495,-15.8791657982269,,209,,,32.5622149152703,-743.152608678075,0.200000000000002,no,2.95,2026_06_04_0044_ev00001_rec0,,465261,0.01045,-739.330419069764,0.0102,2.4,1,0.00999999999999999,2026_06_04_0044,0,4.89095000033692,-756.382863848825
-19.7667481566166,-22.3968981104738,,1075,,,-70.3420990483088,-740.676921608935,1.35,no,4.10000000000001,2026_06_04_0044_ev00002_rec0,,465262,0.05375,-737.810407090626,0.05255,4.25,2,0.05105,2026_06_04_0044,0,5.20570858579595,-760.443669765552
-26.3934199274818,-23.6033226928349,,6217,,,-135.211868972429,-737.515301422869,1.55,no,4.20000000000004,2026_06_04_0044_ev00003_rec0,,465263,0.31085,-736.409562242549,0.3104,4.45000000000001,3,0.3087,2026_06_04_0044,0,5.41280743475066,-763.90872135035
-29.9742910081258,-18.7475815368328,,10299,,,-250.959777110467,-737.348710119727,1.75000000000003,no,6.25000000000009,2026_06_04_0044_ev00004_rec0,,465264,0.51495,-737.356568765189,0.51425,4.65000000000004,4,0.51205,2026_06_04_0044,0,11.9341818078748,-767.323001127853
-13.6420711153241,-13.3939391327834,,12549,,,-68.8608354156415,-739.137666156496,0.400000000000067,no,3.80000000000003,2026_06_04_0044_ev00005_rec0,,465265,0.62745,-739.614592266066,0.6273,3,5,0.6269,2026_06_04_0044,0,3.52544898109362,-752.77973727182
-11.0584835116512,-9.10929356301537,,13566,,,-139.55404598646,-741.800928864189,0.549999999999939,no,7.45000000000007,2026_06_04_0044_ev00006_rec0,,465266,0.6783,-745.626718746315,0.6781,3.85000000000002,6,0.67755,2026_06_04_0044,0,2.10657021500161,-752.85941237584
-8.85702936764096,-14.4149333674695,,13980,,,17.5631165696135,-744.504852973881,0.349999999999961,no,5.09999999999999,2026_06_04_0044_ev00007_rec0,,465267,0.699,-739.660034463595,0.699,4.24999999999998,7,0.69865,2026_06_04_0044,0,8.90041752275137,-753.361882341522
-21.9905374089851,-28.2580470219564,,14766,,,-205.147601629829,-740.003635751739,0.800000000000023,no,5.75000000000003,2026_06_04_0044_ev00008_rec0,,465268,0.7383,-742.408482851249,0.7375,5.65000000000004,8,0.73655,2026_06_04_0044,0,3.60721321580208,-761.994173160724
-43.1205229209911,-35.8919239837203,,15859,,,-397.006605720919,-740.977809782409,1.80000000000002,no,6.09999999999999,2026_06_04_0044_ev00009_rec0,,465269,0.79295,-746.404926721063,0.7928,4.95000000000001,9,0.7909,2026_06_04_0044,0,4.97396699288183,-784.0983327034
-5.58481077230135,-9.83850241747352,,16857,,,-72.8607068574073,-742.713089581341,0.199999999999978,no,9.1,2026_06_04_0044_ev00010_rec0,,465270,0.84285,-743.734298858145,0.84285,7.1,10,0.84265,2026_06_04_0044,0,4.06065095150619,-748.297900353643
