"Event.Number","Record","Event.Time..s.","Baseline..pA.","Peak..pA.","Amplitude..pA.","Rise.Time..ms.","Half.Width..ms.","Decay.Time..ms.","Decay.Fit.b0","Decay.Fit.b1","Decay.Fit.Tau..ms.","AUC..pA.ms.","rise_max_time","baseline_time","event_index","file_prefix","event_id","noise","event_entry_number"
1,0,0.1293,-67.830917857547,-74.1034602176938,-6.27254236014677,5.10000000000001,3.70000000000001,5.09999999999999,-68.5840220422332,-5.2034554713476,4.23670910657098,-72.4809029146177,0.1292,0.12285,2586,"2026_04_16_0022","2026_04_16_0022_ev00001_rec0","no",371346
2,0,0.2188,-70.1419729454032,-73.7660544966917,-3.62408155128844,0.200000000000006,0.349999999999989,0.499999999999973,-67.4112656160138,-4.75018541585508,3.23571790972616,66.7419207160518,0.2188,0.2186,4376,"2026_04_16_0022","2026_04_16_0022_ev00002_rec0","no",371347
3,0,0.2978,-70.2969846440738,-74.1148445966924,-3.81785995261859,0.200000000000033,0.299999999999967,0.0499999999999945,-67.0693509798016,-4.68365483144061,5.78248170095548,69.1678753524492,0.297,0.2968,5956,"2026_04_16_0022","2026_04_16_0022_ev00003_rec0","no",371348
4,0,0.36125,-68.8208230330833,-100.915246755831,-32.0944237227477,2.44999999999995,7.74999999999998,9.64999999999999,-66.2919143323635,-27.9186392330395,14.576111406788,-343.571980911262,0.36035,0.35775,7225,"2026_04_16_0022","2026_04_16_0022_ev00004_rec0","no",371349
5,0,0.4718,-66.1168491881835,-69.4779577301557,-3.36110854197219,0.200000000000033,22.8499999999999,29.1500000000001,-66.7106821466472,-5.32255780610857,13.861668464127,-88.1501881712343,0.47105,0.47085,9436,"2026_04_16_0022","2026_04_16_0022_ev00005_rec0","no",371350
6,0,0.58345,-68.9612670232691,-73.7601280627793,-4.79886103951023,0.249999999999972,0.149999999999983,0,-66.1531641639743,-4.24484897873881,5.89833288159823,58.9211755186706,0.58345,0.5832,11669,"2026_04_16_0022","2026_04_16_0022_ev00006_rec0","no",371351
7,0,0.7695,-67.88460359499,-82.2290683873456,-14.3444647923556,1.65000000000004,9.55000000000006,11.05,-64.8833348600456,-17.9126202401463,14.3941972046007,-157.271549420118,0.76875,0.76705,15390,"2026_04_16_0022","2026_04_16_0022_ev00007_rec0","no",371352
8,0,0.9046,-68.4963753413898,-73.3411702586744,-4.84479491728463,0.0499999999999945,0.0499999999999945,0,-64.5312925203373,-3.3458307548141,8.15646622045058,91.3331116623481,0.9044,0.90435,18092,"2026_04_16_0022","2026_04_16_0022_ev00008_rec0","no",371353
9,0,0.9548,-66.7165369381338,-70.3006066211093,-3.58406968297547,0.149999999999983,0.450000000000061,0.55000000000005,-64.7138691338451,-3.99876198357033,3.09522110457786,47.1059097339127,0.9548,0.95445,19096,"2026_04_16_0022","2026_04_16_0022_ev00009_rec0","no",371354
10,0,1.0063,-64.7523030767763,-74.9457183645582,-10.1934152877819,0.950000000000006,13.5000000000001,16.6499999999998,-59.9637813163517,-14.3121049610016,32.365698106234,-164.426464443729,1.00375,1.0027,20126,"2026_04_16_0022","2026_04_16_0022_ev00010_rec0","no",371355
11,0,1.05985,-67.8167529245006,-76.6823273113253,-8.86557438682469,2.2000000000002,5.00000000000012,4.04999999999989,-68.4616288183466,-8.95471738139579,3.30903103989128,-67.5310883984437,1.05945,1.0567,21197,"2026_04_16_0022","2026_04_16_0022_ev00011_rec0","no",371356
12,0,1.14925,-70.8043229880816,-121.049479967968,-50.2451569798861,4.50000000000017,9.9499999999999,7.95000000000012,-66.4347697931801,-57.0669748083447,8.74815564772411,-542.994703557603,1.14815,1.1436,22985,"2026_04_16_0022","2026_04_16_0022_ev00012_rec0","no",371357
13,0,1.1818,-70.5023357918108,-152.636274982229,-82.1339391904181,1.65000000000015,7.84999999999991,7.74999999999992,-62.5879797804161,-100.498300335502,8.02646308103154,-717.46327650822,1.18075,1.17895,23636,"2026_04_16_0022","2026_04_16_0022_ev00013_rec0","no",371358
14,0,1.2166,-68.3255765155517,-71.4477397137372,-3.1221631981855,0.149999999999872,33.0000000000001,30,-5528.46065085122,5460.94746007774,124359.264224701,-1.73509083907056,1.21405,1.2126,24332,"2026_04_16_0022","2026_04_16_0022_ev00014_rec0","no",371359
15,0,1.24945,-67.5708383431868,-84.0447748033409,-16.4739364601541,1.05,9.85000000000014,8.89999999999991,-68.8011077779166,-20.2740619905691,6.24804999784686,-212.444978593383,1.24705,1.2459,24989,"2026_04_16_0022","2026_04_16_0022_ev00015_rec0","no",371360
16,0,1.28615,-70.6608627370007,-88.1752035115362,-17.5143407745355,1.45000000000017,7.74999999999992,7.05,-67.7623826285564,-21.3241292011876,8.56353300352284,-132.477961116562,1.2843,1.2828,25723,"2026_04_16_0022","2026_04_16_0022_ev00016_rec0","no",371361
17,0,1.3366,-69.3340806050102,-72.1920766546891,-2.85799604967889,0.449999999999839,1.09999999999988,0.950000000000006,-67.4763173963126,-5.01760652930642,1.73672361482922,45.7098407817726,1.3366,1.33615,26732,"2026_04_16_0022","2026_04_16_0022_ev00017_rec0","no",371362
18,0,1.3565,-69.4656623597821,-73.9068140796541,-4.44115171987201,0.0499999999998835,0.0499999999998835,0,-65.5980559068269,-3.47215013232901,14.6240790272825,71.4973878584327,1.3564,1.35635,27130,"2026_04_16_0022","2026_04_16_0022_ev00018_rec0","no",371363
19,0,1.374,-64.562698826493,-67.1549781615984,-2.59227933510537,0.499999999999945,30.3,30,-65.9326011057203,-3.03268168610823,2.63753067868921,-51.1163523022873,1.374,1.3735,27480,"2026_04_16_0022","2026_04_16_0022_ev00019_rec0","no",371364
20,0,1.43905,-67.0916971393307,-71.8085177509794,-4.71682061164869,0.150000000000095,30.0500000000001,30,-65.8487770450343,0.451471464902551,46.5251427627886,47.0158631079108,1.43905,1.4388,28781,"2026_04_16_0022","2026_04_16_0022_ev00020_rec0","no",371365
21,0,1.662,-68.1439578440137,-70.4391568127346,-2.29519896872094,0.299999999999967,0.34999999999985,0.199999999999978,-65.3416721209553,-4.0282727428812,1.92399427118135,75.8813578655488,1.662,1.6617,33240,"2026_04_16_0022","2026_04_16_0022_ev00021_rec0","no",371366
22,0,1.86005,-66.3979676189515,-69.1489917308254,-2.75102411187392,0.199999999999978,0.099999999999989,0,-64.1566025661208,-3.00593590375281,4.019301313172,54.6781280822016,1.86005,1.85985,37201,"2026_04_16_0022","2026_04_16_0022_ev00022_rec0","no",371367
23,0,2.2267,-68.3329895054438,-121.015004263623,-52.6820147581788,1.74999999999992,7.2000000000001,7.15000000000021,-70.4255876076982,-52.2987049959034,6.51666118414921,-504.905590820813,2.22565,2.22385,44534,"2026_04_16_0022","2026_04_16_0022_ev00023_rec0","no",371368
24,0,2.27615,-72.3871606988325,-77.2190598297609,-4.83189913092838,0.399999999999956,0.300000000000189,0,-68.4906636517117,-5.69290483001939,3.60403312371488,95.913480438611,2.27615,2.27575,45523,"2026_04_16_0022","2026_04_16_0022_ev00024_rec0","no",371369
25,0,2.34985,-64.9615431124163,-87.5518071051958,-22.5902639927795,4.30000000000019,8.19999999999999,7.14999999999977,-66.3865617939226,-17.9493399590985,7.49322506544993,-249.462185521706,2.3487,2.34415,46997,"2026_04_16_0022","2026_04_16_0022_ev00025_rec0","no",371370
26,0,2.42165,-69.8981801889368,-72.8677555631396,-2.96957537420278,0.199999999999978,0.0999999999997669,0.399999999999956,-66.6102878664992,-4.77612258205505,4.86334861309793,75.0562250559198,2.42165,2.42145,48433,"2026_04_16_0022","2026_04_16_0022_ev00026_rec0","no",371371
27,0,2.8342,-68.0902711914687,-74.5959443219183,-6.50567313044957,0.250000000000306,0.299999999999745,0.0500000000003276,-66.3370312674714,-4.19896650212178,5.46988208501108,28.163017199738,2.8341,2.83355,56684,"2026_04_16_0022","2026_04_16_0022_ev00027_rec0","no",371372
28,0,2.9222,-67.6839192184853,-76.1529856769722,-8.46906645848688,0.700000000000145,0.449999999999839,1.34999999999996,-66.6634927298319,-4.82891094756109,8.92502793873533,-13.9350169912616,2.9222,2.9214,58444,"2026_04_16_0022","2026_04_16_0022_ev00028_rec0","no",371373
29,0,2.96535,-68.8237289548514,-80.4909059760316,-11.6671770211802,2.14999999999987,6.49999999999995,3.7499999999997,-71.2742397554475,-6.51560216296265,2.99141379821152,-136.585428502468,2.96415,2.9606,59307,"2026_04_16_0022","2026_04_16_0022_ev00029_rec0","no",371374
30,0,2.99295,-72.7155017840242,-78.9057392495455,-6.19023746552131,0.350000000000072,3.09999999999988,2.95000000000023,-67.7102989483403,-12.8238344187293,5.22544800184766,72.3236364007501,2.99195,2.99075,59859,"2026_04_16_0022","2026_04_16_0022_ev00030_rec0","no",371375
