corrected_baseline_pA,event_id,Record,Peak..pA.,corrected_amplitude_pA,Decay.Fit.b0,rise_max_time,event_entry_number,Event.Time..s.,file_prefix,Event.Number,corrected_baseline_index,corrected_baseline_time,Decay.Fit.Tau..ms.,event_index,baseline_time,Rise.Time..ms.,noise,Amplitude..pA.,Half.Width..ms.,Decay.Fit.b1,AUC..pA.ms.,Decay.Time..ms.,Baseline..pA.
,2026_01_13_0024_ev00001_rec0,0,131.636850377954,,107.779924246733,0.14915,257485,0.1498,2026_01_13_0024,1,,,18.879015085091,2996,0.14505,3.34999999999999,no,4.47909329562303,2.65000000000001,21.1593377086033,-253.902755119107,0.099999999999989,127.157757082331
,2026_01_13_0024_ev00002_rec0,0,122.588764814764,,110.093665982019,0.2071,257486,0.20735,2026_01_13_0024,2,,,2.54017487143716,4147,0.20705,0.0499999999999945,no,4.32970931079289,1.14999999999998,14.4499521665411,-207.31490746778,1,118.259055503971
,2026_01_13_0024_ev00003_rec0,0,135.012782379736,,113.837474705431,0.27015,257487,0.27015,2026_01_13_0024,3,,,2.97769513553496,5403,0.27,0.150000000000039,no,8.89823601699464,0.100000000000044,11.1227861625414,-334.692440544276,0,126.114546362742
,2026_01_13_0024_ev00004_rec0,0,126.075815262176,,116.060205920037,0.32905,257488,0.32915,2026_01_13_0024,4,,,3.19494145603596,6583,0.3288,0.249999999999972,no,4.99226458666845,1.45000000000001,10.7119861234985,-115.190866667744,1.39999999999996,121.083550675508
,2026_01_13_0024_ev00005_rec0,0,130.874153655444,,126.535412057377,0.4233,257489,0.4233,2026_01_13_0024,5,,,1.54450803211578,8466,0.4229,0.400000000000011,no,2.12065718069752,0.299999999999967,1.09236509255514,-64.4194044048582,0,128.753496474747
,2026_01_13_0024_ev00006_rec0,0,139.984554292565,,24768.980333612,0.4733,257490,0.474,2026_01_13_0024,6,,,473898.992955706,9480,0.4725,0.699999999999978,no,5.59471318112651,30.5,-24639.4961648292,-121.675919957528,30,134.389841111438
,2026_01_13_0024_ev00007_rec0,0,136.581501838556,,127.096776628481,0.57065,257491,0.5709,2026_01_13_0024,7,,,5.52825565013816,11418,0.57035,0.300000000000078,no,6.30881275517854,2.14999999999999,8.98683845384827,-44.2421022951571,2.70000000000004,130.272689083378
,2026_01_13_0024_ev00008_rec0,0,130.323777773818,,119.410259497447,0.59435,257492,0.59435,2026_01_13_0024,8,,,14.4026773118548,11887,0.59425,0.099999999999989,no,2.27320432760513,1.50000000000006,10.8485786559043,-122.332531435305,1.95000000000001,128.050573446213
,2026_01_13_0024_ev00009_rec0,0,132.604041054108,,118.05544263201,0.64025,257493,0.64025,2026_01_13_0024,9,,,5.17587830100302,12805,0.6395,0.650000000000039,no,5.56608022660009,0.0499999999999945,11.069930233482,-212.366111754747,0,127.037960827508
,2026_01_13_0024_ev00010_rec0,0,130.392915146469,,79977.061261335,0.69365,257494,0.6951,2026_01_13_0024,10,,,181579.365319751,13902,0.69085,0.300000000000078,no,9.74857901369776,26.85,-79863.1175723628,10.0843924961027,23.45,120.644336132771
