"Event.Number","Record","Event.Time..s.","Baseline..pA.","Peak..pA.","Amplitude..pA.","Rise.Time..ms.","Half.Width..ms.","Decay.Time..ms.","Decay.Fit.b0","Decay.Fit.b1","Decay.Fit.Tau..ms.","AUC..pA.ms.","rise_max_time","baseline_time","event_index","file_prefix","event_id","noise","event_entry_number"
1,0,0.04855,274.072906906114,277.081599163449,3.00869225733544,0.099999999999989,28.85,25.8,96809.0272349212,-96537.7157776835,642870.667186093,-12.8026358752125,0.04815,0.04805,971,"2024_06_20_0006","2024_06_20_0006_ev00001_rec0","no",149800
2,0,0.08185,276.188591278819,280.633659047204,4.44506776838563,0.0500000000000222,30.3,30,76519.5856462959,-76249.0968253313,526867.141462412,-104.113225441487,0.08155,0.0815,1637,"2024_06_20_0006","2024_06_20_0006_ev00002_rec0","no",149801
3,0,0.1152,275.34739155398,280.521609778854,5.17421822487444,0.099999999999989,0.299999999999995,0,-6317.50340346991,6592.45667568712,159689.049257049,-28.7627275875156,0.11495,0.11485,2304,"2024_06_20_0006","2024_06_20_0006_ev00003_rec0","no",149802
4,0,0.13335,277.967654459318,281.698162287461,3.73050782814232,0.25,1.60000000000002,0,269.801552303063,5.5069617467965,15.1651943112426,-171.224709994472,0.13315,0.131,2667,"2024_06_20_0006","2024_06_20_0006_ev00004_rec0","no",149803
5,0,0.1845,272.78032894344,277.421656452811,4.64132750937108,0.149999999999983,8.8,9.29999999999998,-10632.4577050425,10911.5974012221,21881.9945324689,-29.355093731211,0.1839,0.18375,3690,"2024_06_20_0006","2024_06_20_0006_ev00005_rec0","no",149804
6,0,0.21965,268.405321883013,270.724598384096,2.31927650108287,0.5,30.45,29.15,77836.0085185852,-77571.1606091521,511805.232606262,-36.4032150513034,0.21965,0.21895,4393,"2024_06_20_0006","2024_06_20_0006_ev00006_rec0","no",149805
7,0,0.242,267.346775277169,276.524626376077,9.17785109890758,0.599999999999989,1,1.95000000000001,267.193706181421,5.71501378199674,4.06380238041184,22.0928775084046,0.2419,0.2411,4840,"2024_06_20_0006","2024_06_20_0006_ev00007_rec0","no",149806
8,0,0.2753,267.02529733464,278.779300075722,11.7540027410821,2.5,3.95000000000001,2.90000000000001,268.373015991341,7.1742200428024,3.33401437400164,80.0889650775885,0.27505,0.2724,5506,"2024_06_20_0006","2024_06_20_0006_ev00008_rec0","no",149807
9,0,0.31955,264.429657086119,280.522892675692,16.0932355895735,4.29999999999997,19.8,24.75,239.475795447769,40.6429811046383,90.3814456305875,411.642533217946,0.3138,0.30925,6391,"2024_06_20_0006","2024_06_20_0006_ev00009_rec0","no",149808
10,0,0.3824,272.914330814128,293.893041935424,20.9787111212962,2.19999999999998,33.1,30,283.719007442102,7.55354610422936,2.02598149505429,402.503070541486,0.37985,0.3772,7648,"2024_06_20_0006","2024_06_20_0006_ev00010_rec0","no",149809
11,0,0.3979,282.738596117578,294.0606034052,11.3220072876213,0.300000000000022,0.800000000000023,1.90000000000001,283.024834493341,6.17392663724648,4.18359624883642,36.9305229789303,0.3978,0.3975,7958,"2024_06_20_0006","2024_06_20_0006_ev00011_rec0","no",149810
12,0,0.42015,279.57313628803,287.613614280833,8.04047799280295,0.950000000000006,5.30000000000003,4.05,277.626988206441,7.23394507447829,10.45999211644,44.2649094214177,0.4172,0.4151,8403,"2024_06_20_0006","2024_06_20_0006_ev00012_rec0","no",149811
13,0,0.4711,282.228678124074,285.981760895408,3.75308277133354,0.099999999999989,3.45000000000001,1.24999999999997,276.004506178048,9.0189309153774,7.44326132747495,-117.97244984658,0.4692,0.46825,9422,"2024_06_20_0006","2024_06_20_0006_ev00013_rec0","no",149812
14,0,0.5005,276.601752337936,279.41333961203,2.81158727409331,0.399999999999956,2.34999999999996,2.50000000000006,274.27185546376,5.3768474344164,5.35415322092491,-38.8569147487491,0.5005,0.50005,10010,"2024_06_20_0006","2024_06_20_0006_ev00014_rec0","no",149813
15,0,0.53135,275.422234863254,283.53623376069,8.11399889743547,0.149999999999983,0.500000000000056,0.699999999999923,272.200721656923,7.85475428342063,3.03626321413544,-70.3328994505292,0.53115,0.531,10627,"2024_06_20_0006","2024_06_20_0006_ev00015_rec0","no",149814
17,0,0.61665,275.365550499199,292.001623231671,16.6360727324725,1.25000000000008,11.4500000000001,10.5000000000001,268.417792819829,22.9559523891277,18.7307900489531,190.577956607484,0.61395,0.6126,12333,"2024_06_20_0006","2024_06_20_0006_ev00017_rec0","no",149816
18,0,0.7004,273.335798290762,279.704804965726,6.36900667496309,0.299999999999967,30.95,30,20889.5348547958,-20618.311884915,243363.275057018,-21.6236245720063,0.7001,0.6994,14008,"2024_06_20_0006","2024_06_20_0006_ev00018_rec0","no",149817
19,0,0.769,275.452776331276,302.40843950316,26.9556631718846,7.19999999999998,37.3,30,289.000858492844,10.9010184290629,12.022722866953,800.389386989499,0.76265,0.75535,15380,"2024_06_20_0006","2024_06_20_0006_ev00019_rec0","no",149818
20,0,0.79165,288.857020483874,298.367586072045,9.51056558817072,0.499999999999945,0.55000000000005,0.649999999999928,-55517.74690819,55810.3754563267,139724.900868691,-61.1839878231471,0.7914,0.7908,15833,"2024_06_20_0006","2024_06_20_0006_ev00020_rec0","no",149819
21,0,0.83455,282.94504517542,290.165088429173,7.22004325375241,0.349999999999961,30.15,30,59142.9308211961,-58866.6588451657,379712.843531475,-129.670074773722,0.8345,0.834,16691,"2024_06_20_0006","2024_06_20_0006_ev00021_rec0","no",149820
22,0,0.85595,278.026424939003,288.389878218272,10.3634532792698,0.349999999999961,2.54999999999994,2.35000000000007,271.26668600754,11.9553180985089,19.5731154415767,-7.38989549575311,0.85575,0.8532,17119,"2024_06_20_0006","2024_06_20_0006_ev00022_rec0","no",149821
23,0,0.89555,277.244851488272,281.629883166942,4.38503167867015,0.350000000000072,25.3500000000001,23.2,189410.454065912,-189138.622192724,623634.700146806,-24.9806593739274,0.89555,0.8952,17911,"2024_06_20_0006","2024_06_20_0006_ev00023_rec0","no",149822
24,0,0.9264,267.220450899451,298.961060476188,31.7406095767373,4.54999999999994,15.6500000000001,17.95,273.127489943975,21.8010704856923,13.6093660558957,581.047129518173,0.9243,0.9196,18528,"2024_06_20_0006","2024_06_20_0006_ev00024_rec0","no",149823
25,0,0.96655,280.859807191968,288.396518817773,7.53671162580429,1.09999999999999,2.90000000000001,3.29999999999997,276.15258074098,9.68790169206262,12.8173215463275,-20.7414529436516,0.96585,0.9643,19331,"2024_06_20_0006","2024_06_20_0006_ev00025_rec0","no",149824
26,0,1.00225,286.151055154212,290.789446234874,4.63839108066213,0.700000000000145,2.39999999999996,1.60000000000005,273.053977120581,19.1017974423518,6.29244880174131,-270.347553077793,1.0021,0.9992,20045,"2024_06_20_0006","2024_06_20_0006_ev00026_rec0","no",149825
27,0,1.05625,283.877538200891,293.322244796723,9.44470659583214,0.549999999999828,0.250000000000083,0.55000000000005,277.374475272239,10.9716055900177,5.88876707415986,-127.721077429795,1.0561,1.05555,21125,"2024_06_20_0006","2024_06_20_0006_ev00027_rec0","no",149826
28,0,1.0986,276.672230114009,284.050097028646,7.37786691463685,0.450000000000061,30.3,30,79187.1071248077,-78912.7074881073,527976.323262528,1.69559216530554,1.09845,1.09795,21972,"2024_06_20_0006","2024_06_20_0006_ev00028_rec0","no",149827
29,0,1.13155,275.676162792336,296.337075526944,20.6609127346077,3.05,7.9499999999999,14.2500000000001,-91740.5266154387,92029.3710279611,237750.121710413,294.425179616132,1.1294,1.1263,22631,"2024_06_20_0006","2024_06_20_0006_ev00029_rec0","no",149828
30,0,1.2762,272.188232835935,279.804272731428,7.61603989549252,0.149999999999872,0.299999999999967,0.600000000000156,263.628295052668,12.3410229780526,7.35155250711825,-165.534290961702,1.276,1.27585,25524,"2024_06_20_0006","2024_06_20_0006_ev00030_rec0","no",149829
