"Event.Number","Record","Event.Time..s.","Baseline..pA.","Peak..pA.","Amplitude..pA.","Rise.Time..ms.","Half.Width..ms.","Decay.Time..ms.","Decay.Fit.b0","Decay.Fit.b1","Decay.Fit.Tau..ms.","AUC..pA.ms.","rise_max_time","baseline_time","event_index","file_prefix","event_id","noise","event_entry_number"
1,0,0.02155,-100.176507223275,-213.81003769722,-113.633530473945,2.15,7.95,7.85,-112.344146275946,-110.236067825736,5.99736278122382,-1293.27368458589,0.0202,0.018,431,"2026_01_13_0015","2026_01_13_0015_ev00001_rec0","no",241335
2,0,0.1099,-108.323211319086,-168.44126860099,-60.1180572819041,8.24999999999998,11.85,6.3,-122.969463313118,-56.1211894296551,3.14274000965951,-939.041762832615,0.10925,0.10095,2198,"2026_01_13_0015","2026_01_13_0015_ev00002_rec0","no",241336
3,0,0.1339,-107.817801479614,-138.806443762229,-30.9886422826153,0.800000000000023,1.65000000000001,1.45000000000001,-113.12299145234,-8.64227072124036,4.21475737341465,-243.050811146026,0.1328,0.1319,2678,"2026_01_13_0015","2026_01_13_0015_ev00003_rec0","no",241337
4,0,0.1641,-103.521026972896,-215.775463246877,-112.25443627398,2.3,5.70000000000001,6.09999999999999,-101.657460518611,-121.850972929197,5.88533244894562,-820.93505445594,0.16345,0.16105,3282,"2026_01_13_0015","2026_01_13_0015_ev00004_rec0","no",241338
5,0,0.19375,-103.822270967308,-112.880796119326,-9.05852515201849,0.400000000000011,1.75,3.65000000000001,-99.8179382378187,-9.53860236076494,14.0322666333244,-0.119628805739001,0.19365,0.19285,3875,"2026_01_13_0015","2026_01_13_0015_ev00005_rec0","no",241339
6,0,0.25895,-98.916318538569,-141.265424047807,-42.349105509238,1.05,7.69999999999999,7.1,-98.0160022967802,-46.801312641586,6.81448539686514,-394.58228078702,0.257,0.25585,5179,"2026_01_13_0015","2026_01_13_0015_ev00006_rec0","no",241340
7,0,0.29555,-99.5558890523104,-149.211277402229,-49.6553883499189,1.09999999999999,6.95000000000001,7.05,-106.887311916867,-48.846406877704,4.73882331966464,-545.141862596037,0.2941,0.2929,5911,"2026_01_13_0015","2026_01_13_0015_ev00007_rec0","no",241341
8,0,0.33245,-104.179533254138,-293.711007353339,-189.531474099202,3.35000000000002,12.2,7.45000000000001,-105.311066932964,-212.876668957422,6.63190900082489,-2624.19539540825,0.3279,0.32405,6649,"2026_01_13_0015","2026_01_13_0015_ev00008_rec0","no",241342
9,0,0.3773,-107.775311596541,-141.905760680462,-34.130449083921,1.90000000000001,6.64999999999999,4.85000000000002,-99.8711534714331,-42.8516523475348,6.59471425448462,-140.046187880751,0.37575,0.37375,7546,"2026_01_13_0015","2026_01_13_0015_ev00009_rec0","no",241343
10,0,0.433,-101.162600337066,-148.996719031608,-47.8341186945422,1.09999999999999,7.00000000000001,30,-122.953326852359,-33.1752717192668,1.78046291987036,-802.90201867739,0.43165,0.43045,8660,"2026_01_13_0015","2026_01_13_0015_ev00010_rec0","no",241344
