"Event.Number","Record","Event.Time..s.","Baseline..pA.","Peak..pA.","Amplitude..pA.","Rise.Time..ms.","Half.Width..ms.","Decay.Time..ms.","Decay.Fit.b0","Decay.Fit.b1","Decay.Fit.Tau..ms.","AUC..pA.ms.","rise_max_time","baseline_time","event_index","file_prefix","event_id","noise","event_entry_number"
1,0,0.30265,-55.0632451258231,-67.6277639622409,-12.5645188364179,2.40000000000001,13.8,15.4,-52.6975387129268,-14.131804576227,21.966994249172,-197.867705010048,0.3007,0.29805,6053,"2024_06_06_0034","2024_06_06_0034_ev00001_rec0","no",127393
2,0,0.42795,-53.6029844263307,-63.0754978394611,-9.47251341313041,2.5,14.85,19.05,-40.790109909617,-21.2455899078018,72.219237974692,-150.262769289192,0.4277,0.425,8559,"2024_06_06_0034","2024_06_06_0034_ev00002_rec0","no",127394
3,0,0.71745,-59.0229778646082,-65.8130920272191,-6.79011416261089,0.149999999999983,0.099999999999989,0,2734.06749916779,-2792.14849489706,18311.1342660997,96.3388735176175,0.71745,0.7173,14349,"2024_06_06_0034","2024_06_06_0034_ev00003_rec0","no",127395
4,0,0.7374,-55.9162232700096,-62.5736172879543,-6.6573940179447,0.149999999999983,0.099999999999989,0,-53.5804569208546,-2.50244363611811,3.77061851993538,60.1278139357746,0.7374,0.73725,14748,"2024_06_06_0034","2024_06_06_0034_ev00004_rec0","no",127396
5,0,0.99405,-58.5503587495993,-65.988598510128,-7.43823976052867,0.750000000000028,9.05,0,-53.5929336600863,-4.61000845169081,13.5883795264654,79.8222664764882,0.99395,0.98425,19881,"2024_06_06_0034","2024_06_06_0034_ev00005_rec0","no",127397
6,0,1.1278,-54.5964918743725,-66.0795075129885,-11.483015638616,3.24999999999998,9.40000000000008,8.55000000000006,-54.0217744864423,-10.7201146126579,10.7339632818942,-137.753331218794,1.1254,1.122,22556,"2024_06_06_0034","2024_06_06_0034_ev00006_rec0","no",127398
7,0,1.1708,-54.0930486543341,-64.2977940930753,-10.2047454387412,2.45000000000006,10.65,17.3000000000001,-56.3463742634159,-6.31263073326762,12.1674653367771,-156.115859820761,1.1706,1.16745,23416,"2024_06_06_0034","2024_06_06_0034_ev00007_rec0","no",127399
8,0,1.33725,-53.7232669271781,-65.2493492002891,-11.526082273111,1.14999999999998,7.29999999999986,14.1,-56.5442895945506,-5.30437787613134,10.843729433216,-153.537701791864,1.33655,1.3345,26745,"2024_06_06_0034","2024_06_06_0034_ev00008_rec0","no",127400
9,0,1.36785,-57.6901556611424,-61.9072940643716,-4.21713840322922,0.299999999999967,0.299999999999967,0,-55.3617369363987,-3.62324542531118,9.43085148917955,35.9459072088356,1.3678,1.36735,27357,"2024_06_06_0034","2024_06_06_0034_ev00009_rec0","no",127401
10,0,1.4185,-54.0395976466353,-60.230494975892,-6.1908973292567,0.199999999999978,0.250000000000083,0.150000000000095,-53.6378371362078,-7.24125796630626,0.13627695419704,10.2045258489198,1.4185,1.4183,28370,"2024_06_06_0034","2024_06_06_0034_ev00010_rec0","no",127402
11,0,1.46075,-53.3215066525103,-60.1671598555243,-6.845653203014,2.69999999999992,11.45,0,-11079.193380095,11022.6993135699,399592.779901263,-119.246277538158,1.46055,1.45785,29215,"2024_06_06_0034","2024_06_06_0034_ev00011_rec0","no",127403
12,0,1.4877,-57.9785787415857,-60.60882347469,-2.63024473310432,0.199999999999978,0.900000000000123,1.75000000000014,-53.10415779239,-6.4171085952299,18.7370194216973,49.5090917661039,1.4875,1.48725,29754,"2024_06_06_0034","2024_06_06_0034_ev00012_rec0","no",127404
13,0,1.536,-54.0713559093051,-57.8613096296741,-3.78995372036902,0.0500000000001055,0.34999999999985,1.80000000000002,-53.9596304880899,-1.98543371499446,6.65765120253506,-11.5756348311486,1.53555,1.5355,30720,"2024_06_06_0034","2024_06_06_0034_ev00013_rec0","no",127405
14,0,1.58345,-55.649250907641,-58.9206518241524,-3.27140091651132,0.250000000000083,0.149999999999872,0,-53.79521304132,-1.72424243981264,9.07485519076183,40.1768201750976,1.5834,1.58305,31669,"2024_06_06_0034","2024_06_06_0034_ev00014_rec0","no",127406
15,0,1.65275,-57.7205958028357,-66.5075085804032,-8.78691277756742,3.00000000000011,2.14999999999987,3.59999999999983,-55.0169162295053,-8.28010322909363,10.9444984862077,-35.08627349075,1.6476,1.6444,33055,"2024_06_06_0034","2024_06_06_0034_ev00015_rec0","no",127407
16,0,1.77865,-61.3907540546138,-66.0528479754274,-4.66209392081358,2.35000000000007,0.150000000000095,0,-54.7448082194938,-7.25961232693462,11.8827082586445,119.705466669252,1.77855,1.776,35573,"2024_06_06_0034","2024_06_06_0034_ev00016_rec0","no",127408
17,0,1.8211,-54.4682201922814,-57.3756778365864,-2.90745764430505,0.55000000000005,0.2000000000002,0.549999999999828,-53.6688712861018,-2.1191848807894,4.47249279310934,13.6569941180691,1.8211,1.82055,36422,"2024_06_06_0034","2024_06_06_0034_ev00017_rec0","no",127409
18,0,2.01825,-55.6268750811705,-58.9493033449646,-3.32242826379412,1.05000000000022,0.849999999999795,0,-53.5593119604986,-2.10737051039729,7.15728000797689,46.8890077967516,2.0181,2.0165,40365,"2024_06_06_0034","2024_06_06_0034_ev00018_rec0","no",127410
19,0,2.09405,-51.1629277377361,-53.2854894450986,-2.1225617073625,0.599999999999934,8.00000000000001,12.5500000000001,-51.795293591121,-1.98110869468841,4.89178522079163,-30.6725498917073,2.09405,2.09345,41881,"2024_06_06_0034","2024_06_06_0034_ev00019_rec0","no",127411
20,0,2.1139,-52.1794773676188,-56.6799353117626,-4.5004579441438,0.300000000000189,0.14999999999965,0,-50.8957178627002,-2.78647570444027,4.26279233048314,25.6819416791977,2.11385,2.11355,42278,"2024_06_06_0034","2024_06_06_0034_ev00020_rec0","no",127412
21,0,2.254,-50.3441498664333,-55.4215800127714,-5.0774301463381,0.14999999999965,30.2500000000001,29.9999999999998,-2722.51256629951,2672.08819938577,181238.001200838,-10.47357966706,2.2538,2.25365,45080,"2024_06_06_0034","2024_06_06_0034_ev00021_rec0","no",127413
22,0,2.35395,-53.5236299414746,-56.2949076423732,-2.77127770089859,0.350000000000072,0.350000000000072,0,22764.4024373449,-22817.8668791597,167631.580855311,61.3083475971827,2.35395,2.3536,47079,"2024_06_06_0034","2024_06_06_0034_ev00022_rec0","no",127414
23,0,2.37385,-50.7223365942497,-55.6681571787568,-4.94582058450718,0.299999999999745,0.249999999999861,0,3652.22788320412,-3702.70754688518,109323.178605594,20.8935354290883,2.37385,2.37355,47477,"2024_06_06_0034","2024_06_06_0034_ev00023_rec0","no",127415
24,0,2.56455,-53.818061801702,-60.1358784207324,-6.31781661903033,0.399999999999956,0.0999999999997669,0,-39.1043945578155,-16.6334794286353,83.5017066863823,21.1604619877057,2.56455,2.56395,51291,"2024_06_06_0034","2024_06_06_0034_ev00024_rec0","no",127416
25,0,2.6845,-57.0866068017169,-60.8211454525414,-3.7345386508245,0.350000000000072,0.250000000000306,0,-52.7353499701024,-4.98646712895214,8.32853736287483,89.033205086841,2.6845,2.68415,53690,"2024_06_06_0034","2024_06_06_0034_ev00025_rec0","no",127417
26,0,2.72735,-51.4560290289746,-53.5313286517107,-2.07529962273609,0.0499999999998835,0.300000000000189,0.199999999999978,-46.3147561044731,-5.96395516568485,20.6005918206786,59.0488826918063,2.72705,2.727,54547,"2024_06_06_0034","2024_06_06_0034_ev00026_rec0","no",127418
27,0,2.8223,-57.2364217811863,-62.5915481858306,-5.35512640464432,2.3500000000003,8.24999999999987,6.34999999999986,-40.0658579250016,-25.504248038715,22.2257882122697,78.2517433706715,2.8213,2.81885,56446,"2024_06_06_0034","2024_06_06_0034_ev00027_rec0","no",127419
28,0,3.0537,-56.0602217395818,-59.3521361368201,-3.29191439723832,0.399999999999956,30.9000000000004,30.0000000000002,-36397.7100270898,36344.2114169185,297418.51075736,20.7082409603769,3.0536,3.05235,61074,"2024_06_06_0034","2024_06_06_0034_ev00028_rec0","no",127420
29,0,3.08435,-55.2872477970567,-62.5485956139634,-7.26134781690664,1.54999999999994,5.39999999999985,29.9999999999998,-58.127412682759,-5.2231392084132,1.83673764460174,-115.801232520403,3.0819,3.08005,61687,"2024_06_06_0034","2024_06_06_0034_ev00029_rec0","no",127421
30,0,3.1273,-58.0998227147322,-61.6874815638301,-3.58765884909798,0.0999999999997669,0.0499999999998835,0,-55.1745321348158,-3.29163390603266,4.59257046105543,72.3202883758864,3.1273,3.127,62546,"2024_06_06_0034","2024_06_06_0034_ev00030_rec0","no",127422
31,0,3.15345,-55.0095802267013,-58.3894094090474,-3.37982918234607,0.249999999999861,0.399999999999956,1.14999999999998,-53.620767431006,-3.13386577711712,6.69089516419248,19.6281529907418,3.15335,3.15305,63069,"2024_06_06_0034","2024_06_06_0034_ev00031_rec0","no",127423
32,0,3.3272,-54.748257077001,-61.6955497154532,-6.94729263845219,0.299999999999745,0.14999999999965,0.300000000000189,-51.7024187097233,-5.78539089695628,10.5118518577007,32.9969661213007,3.32715,3.32685,66544,"2024_06_06_0034","2024_06_06_0034_ev00032_rec0","no",127424
33,0,3.5379,-55.1216040325012,-57.9382323096364,-2.81662827713512,0.100000000000211,0.299999999999745,0.350000000000072,-54.0062496964892,-2.44135500234256,2.9284243785796,25.4441765701732,3.53765,3.53755,70758,"2024_06_06_0034","2024_06_06_0034_ev00033_rec0","no",127425
34,0,3.56715,-54.9397167789197,-57.1939315545009,-2.25421477558123,0.0999999999997669,7.35000000000019,5.14999999999999,-120511.543986952,120456.624543408,723094.313369779,-76.1005298094546,3.56685,3.56615,71343,"2024_06_06_0034","2024_06_06_0034_ev00034_rec0","no",127426
35,0,3.59765,-61.085639790029,-64.029420598809,-2.94378080877998,0.499999999999723,1.70000000000003,0.99999999999989,-50.7838090500091,-11.9924193548089,19.038669170136,127.663560388477,3.59755,3.594,71953,"2024_06_06_0034","2024_06_06_0034_ev00035_rec0","no",127427
36,0,3.7893,-57.2216937317461,-64.4987713291241,-7.27707759737795,1.90000000000001,7.60000000000005,8.05000000000033,-55.5837276348818,-7.70170202224141,14.0201061853166,-60.2252762888306,3.78745,3.78535,75786,"2024_06_06_0034","2024_06_06_0034_ev00036_rec0","no",127428
