"Event.Number","Record","Event.Time..s.","Baseline..pA.","Peak..pA.","Amplitude..pA.","Rise.Time..ms.","Half.Width..ms.","Decay.Time..ms.","Decay.Fit.b0","Decay.Fit.b1","Decay.Fit.Tau..ms.","AUC..pA.ms.","rise_max_time","baseline_time","event_index","file_prefix","event_id","noise","event_entry_number"
1,0,0.10775,-39.3832637134692,-42.886025602583,-3.50276188911381,0.149999999999983,3.20000000000001,4.25,-39.6970462534031,-2.65450039563127,4.25375979785781,-23.2440576283848,0.107,0.1068,2155,"2023_08_23_0032","2023_08_23_0032_ev00001_rec0","no",31675
2,0,0.17065,-38.9704255342385,-41.8437005016861,-2.87327496744764,0.150000000000011,30.1,30,-13816.2385912128,13777.6662862945,503746.656060705,-0.471604573703831,0.17065,0.1705,3413,"2023_08_23_0032","2023_08_23_0032_ev00002_rec0","no",31676
3,0,0.25695,-41.6115067047056,-45.2996878329567,-3.6881811282511,0.749999999999973,0.950000000000006,0.950000000000006,-39.8788707309821,-4.12173611433253,3.31217440733783,36.3446888936024,0.2569,0.2559,5139,"2023_08_23_0032","2023_08_23_0032_ev00003_rec0","no",31677
4,0,0.33,-40.3878861171987,-46.359781304986,-5.9718951877873,0.400000000000011,0.749999999999973,1.40000000000001,-40.6923605926506,-3.19612764758331,2.69163897465648,-19.6810012691812,0.3299,0.32945,6600,"2023_08_23_0032","2023_08_23_0032_ev00004_rec0","no",31678
5,0,0.37305,-41.0294684258046,-46.9785827831071,-5.94911435730246,6.50000000000001,11.05,5.24999999999998,-40.861574927586,-4.84653566752059,7.30427832443182,-59.7531670060157,0.37255,0.3644,7461,"2023_08_23_0032","2023_08_23_0032_ev00005_rec0","no",31679
6,0,0.41255,-41.2168732328551,-46.8961057936539,-5.67923256079872,1.45000000000001,16.5,9.84999999999997,-37851.3125791583,37809.2308110054,301796.417808742,-89.716560227883,0.41205,0.41055,8251,"2023_08_23_0032","2023_08_23_0032_ev00006_rec0","no",31680
7,0,0.4421,-45.4986102003809,-49.7782372431707,-4.27962704278978,0.699999999999978,1.34999999999996,1.5,-42.7079848092686,-6.28070386103669,4.20837893432103,50.8446292195285,0.44055,0.43875,8842,"2023_08_23_0032","2023_08_23_0032_ev00007_rec0","no",31681
8,0,0.5204,-40.0506161188436,-43.4512566711946,-3.40064055235107,0.199999999999978,0.750000000000028,2.34999999999996,-40.4852358220597,-1.50592184694231,3.91884630986807,-20.498692284508,0.5199,0.51955,10408,"2023_08_23_0032","2023_08_23_0032_ev00008_rec0","no",31682
9,0,0.60455,-40.0223325783549,-42.6749093506915,-2.6525767723366,0.149999999999983,20.45,18.5500000000001,-21076.0598850933,21038.6145556257,109677.846503473,-9.31021775750055,0.60455,0.60435,12091,"2023_08_23_0032","2023_08_23_0032_ev00009_rec0","no",31683
10,0,0.638,-40.490784991706,-46.8123007183075,-6.3215157266015,5.05,5.54999999999994,1.65000000000004,-39.5247158412085,-6.22542951821861,2.59832678782411,-5.66569977779784,0.6377,0.63105,12760,"2023_08_23_0032","2023_08_23_0032_ev00010_rec0","no",31684
